Year,Title,Role,Notes,Unused_1,Random_Column_2
1988,Sesame Street,Pee-wee Herman,"Episode:\Put Down the Duckie\""""",,w7N6Q
1995–1997,Murphy Brown,Andrew J. Lansing III,6 episodesNominated - Primetime Emmy Award for Outstanding Guest Actor in a Comedy Series (1995),,CrwHepbV
2000,Everyone Loves Raymond,Russell,"Episode: \Hackidu\""""",,yONn0h8k
2001,Ally McBeal,Louis,Episode: \Cloudy Skies,,Zv7Bzl
2002,Rugrats,Hermie the Elf,"VoiceEpisode: \Babies in Toyland\""""",,wrj3PP
2005,Tripping the Rift,GodDevil,"VoiceEpisode: \Chode's Near Death-Experience\""""",,SQbCB
2006,Campus Ladies,Drama instructor,"Episode: \Drama Class\""""",,hrYC8Nr
2006,Reno 911!,Rick,"Episode: \Rick's On It\""""",,0IQL8rg
2006,Tom Goes to the Mayor,Paul,"VoiceEpisode: \Puddins\""""",,V2Pet
2006,Re-Animated,Golly Gopher,VoiceTV Movie,,ng4qyk
2007,Area 57,Alien,Unaired pilot,,ej6F2E
