Year,Single,Peak chart positionsGER,Peak chart positionsIRE,Peak chart positionsUK,Peak chart positionsUS,Peak chart positionsUSMain,Peak chart positionsUSDance,Certifications(sales thresholds),Album
1970,"\Memo from Turner\""""",23,—,32,—,—,—,,Performance (soundtrack)
1978,"\Don't Look Back\"" (with Peter Tosh)""",—,—,43,81,—,—,,Bush Doctor (Peter Tosh album)
1984,"\State of Shock\"" (with The Jacksons)""",23,8,14,3,3,—,,Victory (The Jacksons album)
1985,"\Just Another Night\""""",16,21,32,12,1,11,,She's the Boss
1985,"\Lonely at the Top\""""",—,—,—,—,9,—,,She's the Boss
1985,"\Lucky in Love\""""",44,—,91,38,5,11,,She's the Boss
1985,"\Hard Woman\""""",57,—,—,—,—,—,,She's the Boss
1985,"\Dancing in the Street\"" (with David Bowie)""",6,1,1,7,3,4,,Single only
1986,"\Ruthless People\""""",—,—,—,51,14,29,,Ruthless People (soundtrack)
1987,"\Let's Work\""""",29,24,31,39,7,32,,Primitive Cool
1987,"\Throwaway\""""",—,—,—,67,7,—,,Primitive Cool
