City served / Location,ICAO,IATA,Airport name,Usage
Puivert,LFNW,,Puivert Aerodrome,Restricted
12: Aveyron,,,,
Cassagnes-Bégonhès,LFIG,,Cassagnes-Bégonhès Airport,Public
Millau / Larzac,LFCM,,Millau - Larzac Airport,Public
Rodez / Marcillac,LFCR,RDZ,Rodez - Marcillac Airport,Public
Saint-Affrique / Belmont,LFIF,,Saint-Affrique - Belmont Aerodrome,Restricted
Villefranche-de-Rouergue,LFCV,,Villefranche-de-Rouergue Airport,Public
13: Bouches-du-Rhône,,,,
Aubagne,,JAH,Aubagne - Agora Heliport,
Aix / Les Milles,LFMA,QXB,Aix-en-Provence Aerodrome (BA 114),Public/Mil.
Berre / La Fare,LFNR,,Berre - La Fare Aerodrome (UAF),Restricted
Istres / Le Tubé,LFMI,IFR,Istres-Le Tubé Air Base/Airport (BA 125),Public/Mil.
Le Mazet-de-Romanin,LFNZ,,Le Mazet-de-Romanin Aerodrome (UAF),Restricted
Marseille / Marignane,LFML,MRS,Marseille Provence Airport,Public
Salon,LFMY,,Salon-de-Provence Air Base (BA 701),Military
Salon / Eyguières,LFNE,,Salon - Eyguières Airport,Public
14: Calvados,,,,
Caen / Carpiquet,LFRK,CFR,Caen - Carpiquet Airport,Public
Condé-sur-Noireau,LFAN,,Condé-sur-Noireau Aerodrome,
Deauville / Saint-Gatien,LFRG,DOL,Deauville - Saint-Gatien Airport,Public
Falaise / Monts d'Eraines,LFAS,,Falaise - Monts d'Eraines Aerodrome,Restricted
15: Cantal,,,,
Aurillac,LFLW,AUR,Aurillac Airport,Public
Saint-Flour / Coltines,LFHQ,,Saint-Flour - Coltines Airport,Public
16: Charente,,,,
Angoulême / Brie / Champniers,LFBU,ANG,Angoulême - Brie - Champniers Airport,Public
Chalais,LFIH,,Chalais Airport,Public
Cognac / Châteaubernard,LFBG,CNG,Cognac - Châteaubernard Air Base (BA 709),Military
17: Charente-Maritime,,,,
Jonzac / Neulles,LFCJ,,Jonzac - Neulles Airport,Public
La Rochelle / Île de Ré,LFBH,LRH,La Rochelle - Île de Ré Airport,Public
Marennes,LFJI,,Marennes Aerodrome,Restricted
Pons / Avy,LFCP,,Pons - Avy Airport,Public
Rochefort / Saint-Agnant,LFDN,RCO,Rochefort - Saint-Agnant Airport (BA 721) (UAF),Public/Mil.
Rochefort / Soubise,LFXR,,Rochefort - Soubise Airport,
Royan / Médis,LFCY,RYN,Royan - Médis Aerodrome,Public
Saint-Jean-d'Angély / Saint-Denis-du-Pin,LFIY,,Saint-Jean-d'Angély - Saint-Denis-du-Pin Aerodrome,Restricted
Saint-Pierre-d'Oléron,LFDP,,Saint-Pierre-d'Oléron Airport,Public
Saintes / Thénac,LFXB,XST,Saintes - Thénac Airport (EETAA 722),Public/Mil.
18: Cher,,,,
Aubigny-sur-Nère,LFEH,,Aubigny-sur-Nère Airport,Public
Avord,LFOA,,Avord Air Base (BA 702),Military
Bourges,LFLD,BOU,Bourges Airport,Public
Châteauneuf-sur-Cher,LFFU,,Châteauneuf-sur-Cher Airport,Public
Vierzon / Méreau,LFFV,XVZ,Vierzon - Méreau Aerodrome,Restricted
19: Corrèze,,,,
Brive / Souillac,LFSL,BVE,Brive - Souillac Airport (Brive - Dordogne Valley Airport),Public
Brive / La Roche,LFBV,BVE,Brive - La Roche Airport,Public
Égletons,LFDE,,Égletons Airport,Public
Ussel / Thalamy,LFCU,,Ussel - Thalamy Airport,Public
2A: Corse-du-Sud (South Corsica),,,,
Ajaccio / Campo dell'Oro,LFKJ,AJA,Ajaccio - Napoléon Bonaparte Airport,Public
Figari Sud-Corse,LFKF,FSC,Figari Sud-Corse Airport (Figari South Corsica Airport),Public
Propriano,LFKO,PRP,Propriano Airport,Public
Solenzara,LFKS,SOZ,Solenzara Air Base (BA 126),Military
2B: Haute-Corse (North Corsica),,,,
Bastia / Poretta,LFKB,BIA,Bastia - Poretta Airport,Public
