City,County(ies),Population(2000 Census),Population(2010 Census),Class,Incorporationdate
Galesville,Trempealeau,"1,427","1,481",4th,1942
Gillett,Oconto,"1,262","1,386",4th,1944
Glendale,Milwaukee,"13,367","12,872",3rd,1950
Glenwood City,St. Croix,"1,183","1,242",4th,1895
Green Bay,Brown,"102,767","104,057",2nd,1854
Greenfield,Milwaukee,"35,476","36,720",3rd,1957
Green Lake,Green Lake,"1,100",960,4th,1962
Greenwood,Clark,"1,079","1,026",4th,1891
Hartford,DodgeWashington,"10,905","14,223",3rd,1883
Hayward,Sawyer,"2,129","2,318",4th,1915
Hillsboro,Vernon,"1,302","1,417",4th,1885
Horicon,Dodge,"3,775","3,655",4th,1897
Hudson,St. Croix,"8,775","12,719",4th,1858
Hurley,Iron,"1,818","1,547",4th,1918
Independence,Trempealeau,"1,244","1,336",4th,1942
Janesville,Rock,"59,498","63,575",2nd,1853
Jefferson,Jefferson,"7,338","7,973",4th,1878
Juneau,Dodge,"2,485","2,814",4th,1887
Kaukauna,Outagamie,"12,983","15,462",3rd,1885
