Rank,Title,Studio,Director,Actors,Gross,Extra_Data_1,Irrelevant_2,Filler_3
13.,The Sandpiper,Metro-Goldwyn-Mayer,Vincente Minnelli,"Elizabeth Taylor, Richard Burton, Eva Marie Saint, Charles Bronson, Robert Webber","$13,691,111",658,GPvXDSm,ITghE
14.,A Patch of Blue,Metro-Goldwyn-Mayer,Guy Green,"Sidney Poitier, Shelley Winters, Elizabeth Hartman, Wallace Ford, Ivan Dixon","$13,500,000",869,5I66uw,QJnnVuqA
15.,The Sons of Katie Elder,Paramount Pictures,Henry Hathaway,"John Wayne, Dean Martin, Martha Hyer, Michael Anderson, Jr., Earl Holliman, Jeremy Slate, George Kennedy, Dennis Hopper","$13,333,333",731,negWSO7,TbEeDZGP
16.,Help!,United Artists,Richard Lester,"John Lennon, Paul McCartney, George Harrison, Ringo Starr, Leo McKern, Eleanor Bron, John Bluthal","$12,066,667",122,wSiUwIq,yTmdNeS
17.,How to Murder Your Wife,United Artists,Richard Quine,"Jack Lemmon, Virna Lisi, Terry-Thomas, Claire Trevor","$12,000,000",48,PTEd0,ZqgNW
18.,Darling,Embassy Pictures,John Schlesinger,"Julie Christie, Laurence Harvey, Dirk Bogarde, José Luis de Vilallonga, Roland Curram, Basil Henson","$12,000,000",352,TIrspU,AJRXmrk
19.,The Agony and the Ecstasy,20th Century Fox,Carol Reed,"Charlton Heston, Rex Harrison, Diane Cilento, Harry Andrews, Alberto Lupo, Adolfo Celi, Venantino Venantini","$8,000,000",889,Ly08ma4,nMmGr
20.,Do Not Disturb,20th Century Fox,"Ralph Levy, George Marshall","Doris Day, Rod Taylor, Hermione Baddeley, Sergio Fantoni, Reginald Gardiner","$8,000,000",772,6OSQJ,COoiCOi
21.,The Spy Who Came in from the Cold,Paramount,Martin Ritt,"Richard Burton, Claire Bloom, Oskar Werner, Sam Wanamaker","$7,600,000",927,Pk3Qkq3r,EcxjRki
22.,Ship of Fools,Columbia,Stanley Kramer,"Vivien Leigh, Simone Signoret, Oskar Werner, Lee Marvin, Elizabeth Ashley, George Segal, José Greco, Michael Dunn","$7,000,000",860,wTXwkU4Y,joWsbqoV
23.,The Collector,Columbia,William Wyler,"Terence Stamp, Samantha Eggar, Mona Washbourne","$7,000,000",625,hVyU9Y,vkcqqcL
24.,The Train,United Artists,John Frankenheimer,"Burt Lancaster, Paul Scofield, Jeanne Moreau, Michel Simon","$6,800,000",463,wZDnb,eMkXs
