#,Secretary of State,Prime Minister,Tenure
19.,Esioff Léon Patenaude,Borden,"January 8, 1917 – June 12, 1917"
*,Albert Sévigny (acting),Borden,"June 13, 1917 – August 24, 1917"
20.,Arthur Meighen,Borden,"August 25, 1917 – October 12, 1917"
21.,Martin Burrell,Borden,"October 12, 1917 – December 30, 1919"
22.,Arthur Lewis Sifton,Borden,"December 31, 1919 – July 10, 1920"
22.,Arthur Lewis Sifton,Meighen,"July 10, 1920 – January 21, 1921"
23.,Sir Henry Lumley Drayton,Meighen,"January 24, 1921 – September 20, 1921"
24.,Rodolphe Monty,Meighen,"September 21, 1921 – December 29, 1921"
25.,Arthur Bliss Copp,King,"December 29, 1921 – September 24, 1921"
26.,Walter Edward Foster,King,"September 26, 1925 – November 12, 1925"
*,Charles Murphy (acting),King,"November 13, 1925 – March 23, 1926"
