Season,Winner,Team,Position,Age,Dummy_Col_1
1953–54,Camille Henry,New York Rangers,C,20,pDlaK
1954–55,Ed Litzenberger,Chicago Black Hawks,RW,22,ANkMTAM
1955–56,Glenn Hall,Detroit Red Wings,G,23,tOMsaQU
1956–57,Larry Regan,Boston Bruins,RW,26,NVVpVIaS
1957–58,Frank Mahovlich,Toronto Maple Leafs,LW,19,fCQpTSp
1958–59,Ralph Backstrom,Montreal Canadiens,C,20,SBDtvyml
1959–60,Bill Hay,Chicago Black Hawks,C,23,uYQlkru
1960–61,Dave Keon,Toronto Maple Leafs,C,20,rbfejXT
1961–62,Bobby Rousseau,Montreal Canadiens,RW,21,NUUfU
1962–63,Kent Douglas,Toronto Maple Leafs,D,26,jcoXBHF
