Station,Distance from Wellington,Height above sea level (m),Opened,Closed,Notes
Makerua,111.84 km,7.62m,1886,c.1970,
Tokomaru,118.35 km,17.7m,1886,closed,
Linton,124.19 km,18.3m,1886,closed,
Longburn,129.69 km,19.8m,1873,closed,
Awapuni,132 km,24.7m,1876,1965,
Palmerston North,135.76 km,30m,1873,1965,
Terrace End,138.51 km,38.1m,1876,1964,
Palmerston North,136.03 km,28m,1963,Open,
Bunnythorpe,144.47 km,55.2m,1876,closed,
Taonui,148.62 km,61.9m,1876,1963,
Aorangi,150.66 km,70.7m,1876,1965,
Feilding,152.98 km,72.2m,1876,2012,
Makino Road,156.26 km,103m,1878,1960,
Maewa,158.34 km,107m,1878,1962,
Halcombe,165.76 km,118m,1878,closed,
Kakariki,171.12 km,70m,1878,closed,
