Rank,Title,Studio,Actor/Actress,Director,Gross
1.,Three Men and a Baby,Touchstone,"Tom Selleck, Ted Danson, and Steve Guttenberg",Leonard Nimoy,"$167,780,960"
2.,Fatal Attraction,Paramount,"Michael Douglas, Glenn Close, and Anne Archer",Adrian Lyne,"$156,645,693"
3.,Beverly Hills Cop II,Paramount,"Eddie Murphy, Judge Reinhold, Brigitte Nielsen, John Ashton, and Paul Reiser",Tony Scott,"$153,665,036"
4.,"Good Morning, Vietnam",Touchstone,Robin Williams and Forest Whitaker,Barry Levinson,"$123,922,370"
5.,Moonstruck,MGM,"Cher, Nicolas Cage, Olympia Dukakis, Vincent Gardenia, and Danny Aiello",Norman Jewison,"$80,640,528"
6.,The Untouchables,Paramount,"Kevin Costner, Sean Connery, Robert De Niro, Andy García, and Charles Martin Smith",Brian De Palma,"$76,270,454"
7.,The Secret of My Success,Universal,"Michael J. Fox, Helen Slater, Margaret Whitton, and Richard Jordan",Herbert Ross,"$66,995,000"
8.,Stakeout,Touchstone,"Richard Dreyfuss, Emilio Estevez, Madeleine Stowe, and Aidan Quinn",John Badham,"$65,673,233"
9.,Lethal Weapon,Warner Bros.,"Mel Gibson, Danny Glover, and Gary Busey",Richard Donner,"$65,207,127"
10.,Dirty Dancing,Vestron,"Patrick Swayze, Jennifer Grey, Jerry Orbach, and Cynthia Rhodes",Emile Ardolino,"$63,892,689"
