#,Title,Directed by,Written by,Original air date,Productioncode,Dummy_Col_1,Random_Column_2
12,"\Bellport\""""",Patrick Norris,Peter Elkoff,"September 27, 2004",1AJE12,koVQS,v8eONJG
13,"\Leverage\""""",Elodie Keene,Kevin Falls & Matt McGuinness,"November 4, 2004",1AJE13,GANupg,3gpSxncH
14,"\Illusions\""""",George Mendeluk,Kimberly Costello,"November 11, 2004",1AJE14,QIfjp,ORQcs4
15,"\The Big One\""""",Patrick Norris,Gretchen J. Berg & Aaron Harberts,"November 18, 2004",1AJE15,JZCkCu,KJM7OYGB
16,\The Cook, the Waitress," the GM and His Lover\""""",Kenneth Biller,Kenneth Biller & Dana Baratta,tWUWNIUt,YanqS1nD
17,"\Sucker Punch\""""",Perry Lang,Liz Heldens,"December 9, 2004",1AJE17,lIqfwB,MBChM
18,"\Catwalk\""""",Michael Fresco,Colleen McGuinness,"December 16, 2004",1AJE18,eQFEHtMr,d70h5
19,"\Shark\""""",Alan Myerson,Kevin Falls & Matt McGuinness,"January 6, 2005",1AJE19,OeVNHw,eXa4M
20,"\The Ex-Games\""""",Fred Gerber,Amy Berg & Andrew Colville,"January 13, 2005",1AJE20,OqMCXwid,sCOaavI
21,"\The End\""""",Elodie Keene,Karyn Usher,Unaired,1AJE21,QxmNXX,pjVKe
