Film,Year,Role,Language,Extra_Data_1,Random_Column_2,Noise_Field_3
Miss Christina,2013,Mrs. Moscu,Romanian,54,Xg6eA3l,GOWiY
The Secret of Polichinelle,2013,Maya,Romanian,577,0vmGG,mZkjz
Fata din Transilvania,2011,,Romanian,76,UHRca,yoeQcN
La fin du silence,2011,the mother,French,634,VmgJr,pQLYFTbk
"Sange Tanar, Munti Si Brazi",2011,Mama,Romanian drama,675,i3d10k,wVgKV
Luna verde,2010,Simona,Romanian,79,1Mf5r,LjTAvYGf
Iubire si onoare (tv series),2010–2011,Marieta,Romanian,602,ro9vHmK,EnmcQIzs
Aniela (tv series),2009–2010,Maica Stareţa,Romanian,908,rzvNxu,LlCSWWLH
The House of Terror,2008 (pre-production),Eszter Somos,English,998,JquAdX2,wmEpx
Eva,2009,Maria,English,328,KOFZISKz,BtJTOyw
The Fence,2007 (in production),Herman's mother,English,937,J8zFifu,jSGmAbm
Mansfeld,2006,Mrs. Mansfeld,Hungarian / English / Russian / German,341,ogawz,PhaliyF
