Z,Element,Observed or predicted,Isolated (widely known),Observer,First isolator,Notes,Filler_1,Dummy_Col_2,Dummy_Col_3
32,Germanium,1886,,A. Winkler,,In February 1886 Winkler found in argyrodite the eka-silicon that Mendeleev had predicted in 1871.,ofaESPOW,psSlzs,gztNsC
18,Argon,1894,1894,Lord Rayleigh and W. Ramsay,Lord Rayleigh and W. Ramsay,They discovered the gas by comparing the molecular weights of nitrogen prepared by liquefaction from air and nitrogen prepared by chemical means. It is the first noble gas to be isolated.,UyEHY,pOEhHrG,nliywth
36,Krypton,1898,1898,W. Ramsay and W. Travers,W. Ramsay and W. Travers,"On May 30, 1898, Ramsay separated a third noble gas from liquid argon by difference in boiling point.",UZeBT,EmNzkWqf,rCxkzdG
10,Neon,1898,1898,W. Ramsay and W. Travers,W. Ramsay and W. Travers,In June 1898 Ramsay separated a new noble gas from liquid argon by difference in boiling point.,uDVdMcZ,ekzNbRuU,tdzsYTZh
54,Xenon,1898,1898,W. Ramsay and W. Travers,W. Ramsay and W. Travers,"On July 12, 1898 Ramsay separated a third noble gas within three weeks, from liquid argon by difference in boiling point.",olyqNF,YvMOPywU,kBqaRSo
84,Polonium,1898,1902,P. and M. Curie,W. Marckwald,"In an experiment done on July 13, 1898, the Curies noted an increased radioactivity in the uranium obtained from pitchblende, which they ascribed to an unknown element.",mfXLCGwr,RcKbrIr,fVccfQ
88,Radium,1898,1902,P. and M. Curie,M. Curie,"The Curies reported on December 26, 1898, a new element different from polonium, which Marie later isolated from uraninite.",DqmJeLRw,FdkEsK,mryAVO
86,Radon,1898,1910,E. Dorn,W. Ramsay and R. Whytlaw-Gray,"Dorn discovered a radioactive gas resulting from the radioactive decay of radium, isolated later by Ramsay and Gray.",FSjIaN,FyPnqjC,IEdZEJ
89,Actinium,1899,1899,A.-L. Debierne,A.-L. Debierne,Debierne obtained from pitchblende a substance that had properties similar to those of thorium.,vUqxPwDO,OVAmkG,ekKQQO
63,Europium,1896,1901,E.-A. Demarçay,E.-A. Demarçay,"Demarçay found spectral lines of a new element in Lecoq's samarium, and separated this element several years later.",qkKrr,KfFcJbd,loiaGU
