Pos,No,Driver,Constructor,Lap,Gap,Extra_Data_1
12,54,Cecil Green,Kurtis Kraft-Offenhauser,4:30.86,+ 2.89,660
13,18,Duane Carter,Stevens-Offenhauser,4:33.42,+ 5.45,489
14,21,Spider Webb,Maserati-Offenhauser,4:37.46,+ 9.49,911
15,81,Jerry Hoyt,Kurtis Kraft-Offenhauser,4:37.95,+ 9.98,740
16,2,Myron Fohr,Marchese-Offenhauser,4:33.32,+ 5.35,126
17,24,Bayliss Levrett,Adams-Offenhauser,4:34.43,+ 6.46,584
18,45,Dick Rathmann,Watson-Offenhauser,4:34.96,+ 6.99,678
19,7,Paul Russo,Nichels-Offenhauser,4:35.25,+ 7.28,338
20,4,Walt Brown,Kurtis Kraft-Offenhauser,4:35.96,+ 7.99,761
21,12,Henry Banks,Maserati-Offenhauser,4:37.68,+ 9.71,571
22,67,Bill Schindler,Snowberger-Offenhauser,4:31.31,+ 3.34,853
