Bank,Foundation,# of BranchesAs of 30 September 2012,Total Assets (million TL)As of 30 September 2012,Dummy_Col_1,Filler_2,Noise_Field_3
JPMorgan Chase,1984,1,830,wpSPcz,uEvjz,YqIpHJe
Birleşik Fon Bankası,1958,1,801,NFSco,bgjjrEg,NDtgKDD
Bank Mellat,1982,3,729,gFvmHH,DEHAeeO,Vafau
Portigon,1985,1,279,XqgRov,PnRCW,paZnihCD
Nurol Yatırım Bankası,1999,2,227,taOYf,SqZdt,LGjlnGgd
Diler Yatırım Bankası,1998,1,108,faoTNk,ZdilU,CMTQIFo
GSD Yatırım Bankası,1998,1,108,cUPSYZFP,lNiGlzR,uWhSYo
Habib Bank Limited,1983,1,80,Ojlweh,neOHcMeC,zLYjH
Credit Agricole,1990,1,72,LfPcd,tdjvp,ECPoJ
Adabank,1985,1,51,CvSbMdy,PugGmA,EEyhi
Taib Yatırım Bank,1987,1,18,moPue,YiOVimys,jYqBvbu
