Issue Date,Album,Artist,Unused_1,Random_Column_2
October 27,Purple Rain,Prince and the Revolution / Soundtrack,,OpZvgj
November 3,Purple Rain,Prince and the Revolution / Soundtrack,,uzjinW
November 10,Purple Rain,Prince and the Revolution / Soundtrack,,eQDMWPm
November 17,Purple Rain,Prince and the Revolution / Soundtrack,,cofdK0T
November 24,Purple Rain,Prince and the Revolution / Soundtrack,,9JXaL5g
December 1,Purple Rain,Prince and the Revolution / Soundtrack,,JT2HZ
December 8,Purple Rain,Prince and the Revolution / Soundtrack,,Zk04WZ
December 15,Purple Rain,Prince and the Revolution / Soundtrack,,DPGiLv9
December 22,Purple Rain,Prince and the Revolution / Soundtrack,,RPQQ2
December 29,Purple Rain,Prince and the Revolution / Soundtrack,,OONKU6RA
