Country,Name,"Title, Position",Grand Crosswith Collar,Year of appointment,Random_Column_1,Noise_Field_2
Germany,Horst Köhler,Former President,,2007,n9Pp2Wl,MNxohOm
Germany,Marianne von Weizsäcker,Former first lady,,1986,ikmbYZ,PosIC
Germany,Richard von Weizsäcker,Former President,,1986,4qW9z6O,Zpzan
Greece,Constantine II,Former King,,"1964, 1962",3sfUA,enAuNGx
Greece,Constantinos Stephanopoulos,Former President,,2004,JzjTIgFN,QXkme
Hungary,Árpád Göncz,Former President,,1999,uWvar9,Vwoxuq
Iran,Farah Pahlavi,Former Empress,,1965,WUm5Sk,zDsFj
Iceland,Ólafur Ragnar Grímsson,President,,1998,6V6MXVi4,RYjpVBS
Iceland,Vigdís Finnbogadóttir,Former President,,1982,wp2bG,BEguOox
Italy,Carlo Azeglio Ciampi,Former President,,2001,vIIXh,hWOgVFN
Japan,Akihito,Emperor,,"2001, 1953",zWaIpfg8,gvZYY
