Club,Season,LeagueApps,LeagueGoals,FA CupApps,FA CupGoals,League CupApps,League CupGoals,OtherApps,OtherGoals,TotalApps,TotalGoals,Filler_1
Carlisle United,2007–08,21,1,2,0,2,0,2,2,27,3,pJZcI
Carlisle United,2008–09,0,0,0,0,0,0,0,0,0,0,rdmQDBE
Carlisle United,Total,66,9,3,0,3,0,3,2,75,11,YLTnq
Darlington (loan),2008–09,8,0,0,0,0,0,0,0,8,0,IWMdLZC
Lincoln City (loan),2008–09,9,0,0,0,1,0,1,0,11,0,GnqncLIl
Port Vale (loan),2008–09,7,0,0,0,0,0,0,0,7,0,uWyeDjgy
Darlington,2009–10,10,2,0,0,0,0,2,0,12,2,tlyZfP
York City,2009–10,5,1,1,0,0,0,3,0,9,1,prQhIi
Wrexham,2010–11,5,0,0,0,0,0,0,0,5,0,ktCcOCH
Career total,Career total,296,43,19,1,11,1,19,4,345,49,XdjdH
