Athlete,Nation,Olympics,Gold,Silver,Bronze,Total
Katarina Witt,East Germany (GDR),1984–1988,2,0,0,2
Tessa Virtue / Scott Moir,Canada (CAN),2010-2014,1,2,0,3
Meryl Davis / Charlie White,United States (USA),2010-2014,1,1,1,3
Marina Klimova / Sergei Ponomarenko,Unified Team (EUN) Soviet Union (URS),1984–1992,1,1,1,3
Tenley Albright,United States (USA),1952-1956,1,1,0,2
Elena Berezhnaya / Anton Sikharulidze,Russia (RUS),1998-2002,1,1,0,2
Sjoukje Dijkstra,Netherlands (NED),1960-1964,1,1,0,2
Carol Heiss,United States (USA),1956-1960,1,1,0,2
Ludowika Jakobsson / Walter Jakobsson,Finland (FIN),1920-1924,1,1,0,2
Kim Yu-na,South Korea (KOR),2010–2014,1,1,0,2
Shen Xue / Zhao Hongbo,China (CHN),2002–2010,1,0,2,3
Jeannette Altwegg,Great Britain (GBR),1948-1952,1,0,1,2
