,Name,Took office,Left office,Party,Notes/Events
1,Benjamin Contee,"March 4, 1789","March 3, 1791",Anti-Administration,
2,William Pinkney,"March 4, 1791","November, 1791",Pro-Administration,resigned
3,John Francis Mercer,"February 5, 1792","March 3, 1793",Anti-Administration,
4,Uriah Forrest,"March 4, 1793","November 8, 1794",Pro-Administration,resigned
5,Benjamin Edwards,"January 2, 1795","March 3, 1795",Pro-Administration,
6,Jeremiah Crabb,"March 4, 1795","June 1, 1796",Federalist,resigned
7,William Craik,"December 5, 1796","March 3, 1801",Federalist,
8,Thomas Plater,"March 4, 1801","March 3, 1805",Federalist,
9,Patrick Magruder,"March 4, 1805","March 3, 1807",Democratic-Republican,
10,Philip Barton Key,"March 4, 1807","March 3, 1813",Federalist,
