Title,Year,Peak chart positionsUS,Peak chart positionsUS R&B,Peak chart positionsUS Rap,Peak chart positionsUK,Certifications,Album,Unused_1,Unused_2
"\Can't You See\""",,,,,,,,,
"(Total featuring The Notorious B.I.G.)""",1995,13,3,—,43,RIAA: Gold,Total,,
"\Player's Anthem\""",,,,,,,,,
"(with Junior M.A.F.I.A.)""",1995,13,7,2,—,RIAA: Gold,Conspiracy,,
"\This Time Around\""",,,,,,,,,
"(Michael Jackson featuring The Notorious B.I.G.)""",1995,—,—,—,—,,HIStory,,
"\You Can't Stop the Reign\""",,,,,,,,,
"(Shaquille O'Neal and The Notorious B.I.G.)""",1996,—,—,—,40,,You Can't Stop the Reign,,
"\Only You\""",,,,,,,,,
(112 featuring The Notorious B.I.G.," Mase and Puff Daddy)""",1996,13,3,—,—,RIAA: Gold,,
"\Get Money\""",,,,,,,,,
"(with Junior M.A.F.I.A.)""",1996,17,4,1,63,RIAA: Platinum,Conspiracy,,
"\Crush on You\""",,,,,,,,,
"(Lil' Kim featuring The Notorious B.I.G. & Lil Cease)""",1996,6,—,1,36,,Hard Core,,
