Name of place,Counties,Principal county,Lower zip code,Dummy_Col_1,Dummy_Col_2
Cabinhill,1,Delaware County,13752,AApdpyZ,PMiRvfFK
Cadiz,1,Cattaraugus County,14737,oeZPgPjT,BQYkAa
Cadosia,1,Delaware County,13783,bNPxYop,qExCmu
Cadyville,1,Clinton County,12918,pjtgx,DmxWqRJy
Cagwin Corners,1,Oneida County,,hLptMg,PNCfcfs
Cahoonzie,1,Orange County,12780,RoAUePly,TZsdfZ
Cains Corners,1,Oswego County,,wrcuuDfu,tHQnEr
Cairo,1,Greene County,12413,HCPTy,yjiYAE
Cairo Junction,1,Greene County,,XOhnW,FvtXfEtM
Calciana,1,Wayne County,,vRhCUEO,mtjWbF
Calcium,1,Jefferson County,13616,XFrQjo,ffynA
Calcutta,1,Otsego County,12064,EGPpGzo,XOIxaxro
Caldwell,1,Warren County,,pZOEm,baspRob
Caledonia,1,Livingston County,14423,FMvVuj,NQICoxP
Caledonia,1,Livingston County,,jBXpkAaJ,WguCy
Calico Colony,1,Saratoga County,12065,KwQWtlV,rYFVPJVr
Callanans Corners,1,Albany County,12143,Cxptup,NacfkH
Callicoon,1,Sullivan County,12723,cZgDedK,eHcynNVo
Callicoon Center,1,Sullivan County,12724,BZeIRoV,YRPoPE
Calverton,1,Suffolk County,11933,aLMcLwGb,KGBhhHb
Calverton-Roanoke,1,Suffolk County,,GmcEI,KxoliJyy
Cambria,1,Niagara County,,bORUsy,HIngJBZe
Cambria Center,1,Niagara County,,iYldDxU,NkSzIuID
Cambria Heights,1,Queens County,11411,zUyBsND,LWsOq
Cambridge,1,Washington County,12816,vYnxJ,qlVXRf
Cambridge,1,Washington County,,tAUHVBqc,zQaPkT
Camby,1,Dutchess County,,ifGVVyZ,rUnKUPcU
Camden,1,Oneida County,13316,RHwxlPao,ezIbIjd
Camden,1,Oneida County,,jBTbKAwq,mJFRWHvB
Cameron,1,Steuben County,14819,biiRSxAv,EscqTB
Cameron,1,Steuben County,,nevvOq,ufgsiHrU
Cameron Mills,1,Steuben County,14820,eKPDuDTC,UTGekM
Camillus,1,Onondaga County,13031,JxolZZ,buXgSRBe
Camillus,1,Onondaga County,,zcbCK,hXZAwc
Campbell,1,Madison County,,PBCJgh,ziujdJMx
Campbell,1,Steuben County,14821,rDiMytJY,ACdhK
Campbell Hall,1,Orange County,10916,WzQdOto,IcOYAcdb
Campbell Hall Junction,1,Orange County,,OVkNhVsN,GInfx
Camp Drum,1,Jefferson County,13602,yJqNy,CGIYlg
Camp Hemlock,1,Sullivan County,12721,yzFtQc,zyAhVjyH
Camp Hill,1,Rockland County,10970,tMdIJfo,sbAhzhTH
Camp Lakeland,1,Erie County,,SxKbmy,ATVjKDNm
Camp Pioneer,1,Erie County,,SymytYG,XtraGwg
Camps Mills,1,Jefferson County,13601,ndVNrNX,vvzxDh
Campville,1,Tioga County,13760,mXpEyuHr,RjJKHeUm
Camroden,1,Oneida County,13440,WNWCCCV,vMovF
Canaan,1,Columbia County,12029,lYjfW,UkjbGJ
Canaan Center,1,Columbia County,12029,WicQN,krfQn
Canada Lake,1,Fulton County,12032,ARkdph,cBVjK
Canadice,1,Ontario County,14560,roKIQ,SJOkWyw
Canadice,1,Ontario County,,BtDge,xxlSS
Canajoharie,1,Montgomery County,13317,iujWZuI,lEueb
Canajoharie,1,Montgomery County,,LPlQeXg,jslOcoks
Canal Street,1,New York County,10013,aRTPFci,FySXzcP
Canandaigua,1,Ontario County,14424,vDQYC,vQNOUgc
Canandaigua,1,Ontario County,,dPjlc,SZgGtziI
Canarsie,1,Kings County,11236,HXaYxNoB,ZNzOeB
Canaseraga,1,Allegany County,14822,rDyWRxdA,cyAWRBk
Canastota,1,Madison County,13032,DADljOKN,DLtYd
Canawaugus,1,Livingston County,14423,vgKzk,RDakUx
Candor,1,Tioga County,13743,KERFx,OriLp
Caneadea,1,Allegany County,14717,LWNnLz,cItexF
Canisteo,1,Steuben County,14823,oGEQHp,wKOLS
Canisteo,1,Steuben County,,OyTISlh,BxmdqZq
Canisteo Center,1,Steuben County,,GkvAQOF,zwdFpF
Cannon Corners,1,Clinton County,12959,vyzzx,sEkFIFqt
Canoe Place,1,Suffolk County,11946,tMqvN,hqlVZmQu
Canoga,1,Seneca County,13148,nsVpvHu,fosHU
Canoga Springs,1,Seneca County,,MICTkMNu,lhsBWpft
Canterbury Hill,1,Oneida County,13440,NlGwT,uZnVmPMS
Canton,1,St. Lawrence County,13617,DhGpp,opdKhsYp
Cape Vincent,1,Jefferson County,13618,iCMAl,kRyqZ
Cape Vincent,1,Jefferson County,,nRbkkQ,bcRYUqQO
Capitol,1,Albany County,12224,SVjOb,lOzXQ
Capitol Annex,1,Albany County,12225,YXMTR,pymrQL
Capitol Hills,1,Orange County,10950,OkEnuCDX,EXNeoF
