Name of place,Counties,Principal county,Lower zip code,Dummy_Col_1,Irrelevant_2
Cattaraugus Indian Reservation,3,Chautauqua County,14204,hJHxrXnG,rugFF
Cattaraugus Indian Reservation,3,Erie County,14204,ANVPUsY,oJIgO
Cattaraugus Indian Reservation,1,Cattaraugus County,14204,XKlxYDc,QyclHHq
Cattaraugus Indian Reservation,1,Chautauqua County,14204,yRTaYrA,HgnR7v6
Cattaraugus Indian Reservation,1,Erie County,14204,UkFDm,yN3aNlbn
Cattown,1,Otsego County,13337,RriVd,isOKL
Caughdenoy,1,Oswego County,13036,PgKcupEh,oYKMeO
Cauterskill,1,Greene County,,xGSPUU,ZV6eEK0
Cayuga,1,Cayuga County,13034,Apwsk,xayqrM
Cayuga Heights,1,Tompkins County,14850,YdfmU,iy7WMB
Cayuga Junction,1,Cayuga County,,qFFrT,XINLKn60
Cayuga Nation,2,Cattaraugus County,,NeKSjvx,t9ild
Cayuga Nation,2,Cayuga County,,oIOyu,cVDqjvO7
Cayuta,1,Schuyler County,14824,nVeUjb,Ywyyu
Cayuta,1,Schuyler County,,cbbjMxwk,q2iTiRE
Cayutaville,1,Schuyler County,14805,GVuHgQkw,QGFL9kKJ
Caywood,1,Seneca County,14860,tKmCk,VmeOUk
Cazenovia,1,Madison County,13035,TjJtaIuf,1hObR
Cazenovia,1,Madison County,,wXMNSaNT,ZDcaN
Cecil Park,1,Westchester County,,FECMmT,n2hevHs4
Cedar Bluffs,1,Saratoga County,,BtbsVBq,31ppanEt
Cedar Cliff,1,Orange County,,gbChWV,7TCua
Cedarcrest,1,Livingston County,14487,TyExzh,t3uA9kD
Cedar Flats,1,Rockland County,10980,GyZGXzw,ab6xsv
Cedar Hill,1,Albany County,12158,eonfbiG,ewTt5w
Cedarhurst,1,Nassau County,11516,izDRB,d9m8WvH3
Cedar Knolls,1,Westchester County,,wzLYr,nBITR66Y
Cedar Lake,1,Herkimer County,,lSjOyo,h0JWK
Cedar Manor,1,Queens County,,gmnRpZ,cMTfjEF
Cedars,1,St. Lawrence County,,zXlAFf,p5zzV
Cedar Swamp,1,Monroe County,,aCOJNth,Ih4P9
Cedarvale,1,Onondaga County,13215,KqBZyb,tw2SveXO
Cedarville,1,Herkimer County,13357,uFJSg,VChAj
Cedarville Station,1,Herkimer County,,DMRybSlZ,85zjkigC
Celoron,1,Chautauqua County,14720,jkBZF,UZfwu
Cementon,1,Greene County,12415,JbQWYRY,4JJnoA
Centenary,1,Rockland County,10956,OSQnfB,p98MvSK
Center Avenue,1,Nassau County,,paJGUHS,fEuL9F
Center Berlin,1,Rensselaer County,12022,IAdMPNL,rdQsckKc
Center Brunswick,1,Rensselaer County,12180,NMdjYk,0oubN
Centerbury Hill,1,Oneida County,13440,xIECgYB,gWYJYW
Center Cambridge,1,Washington County,12816,qCMoPzac,46L1G5
Centereach,1,Suffolk County,11720,LWyjgV,YapAH
Center Falls,1,Washington County,12834,rQqlG,hFqbHME
Centerfield,1,Ontario County,14424,AGkaKNj,UUJ2JXn
Center Lisle,1,Broome County,13797,wsqVvZ,Ko69qgl
Center Moriches,1,Suffolk County,11934,VAHjky,cRNcdGP2
Centerport,1,Cayuga County,13166,DvsiRR,cwgX3
Centerport,1,Suffolk County,11721,gJXWkz,LfGtFmf
Center Valley,1,Otsego County,,kSnZIgMd,zhsnYJ
Center Village,1,Broome County,,QecvT,5FunQh3
Centerville,1,Allegany County,14029,iUoPnmz,B9mxRni
Centerville,1,Allegany County,,jqjQU,pDS56Hv
Centerville,1,Delaware County,13756,MJybji,ZAUMGzM0
Centerville,1,Oswego County,,bESMC,j4U61
Centerville,1,Suffolk County,,DZVheOF,PMnPJNQJ
Centerville,1,Ulster County,,juhiOQn,CVqS4o
Center White Creek,1,Washington County,12057,MxTkyq,1XdKC2VK
Central,1,Queens County,11435,jhbDso,gycJnBlA
Central Bridge,1,Schoharie County,12035,bSyXX,OLaVGd
Centralia,1,Chautauqua County,14782,dcAfNLw,GgwT6
Central Islip,1,Suffolk County,11722,dQDTsoC,I2gfz
Central Nyack,1,Rockland County,10960,KGzghTK,Nimwu6
Central Park,1,Erie County,14215,XpVNFrih,kBJ9Y3
Central Square,1,Oswego County,13036,puSap,L946S
Central Valley,1,Orange County,10917,MVDLhEV,r3emQb
Central White Plains,1,Westchester County,10606,PEGrsCd,OOUtKl
Centre Island,1,Nassau County,11771,TeHRf,5u5VcO6D
Center Village,1,Broome County,13787,ZVtzE,BQzvwpH
Centuck,1,Westchester County,10710,YVSHZQOf,YeEnObJ
Ceres,1,Allegany County,14721,Tqrpvrth,iFMzJPP
Chace,1,Wyoming County,,GzxVJV,iwcQk1LW
Chadwicks,1,Oneida County,13319,dhQteGzc,jw2VE9
Chaffee,1,Erie County,14030,dyvaU,ep1ItjJ
Chamberlain Corners,1,St. Lawrence County,13660,FgAThWW,8U0at
Chambers,1,Chemung County,14812,zgJQDwF,BMyLCeP
