name,pos.,caps,goals,club,Irrelevant_1,Filler_2
Olle Åhlund,MF,1,0,Degerfors IF,iiRhZ8Nk,XtnSMWdq
"Sune \Mona-Lisa\"" Andersson""",MF,5,0,AIK Solna,pppUeA1,xKngklK
"Henry \Garvis\"" Carlsson""",FW,2,0,AIK Solna,iUF4nf3,jzYkPNi
"Rune \Killing\"" Emanuelsson""",MF,2,0,IFK Göteborg,B7Rat,uXljz
Thure Grahn,DF,1,0,IS Halmia Halmstad,16guwIjy,jmWnH
"Gunnar \Il Professore\"" Gren""",FW,5,5,IFK Göteborg,7AewzjC,Vcvfox
"Sven \Jack\"" Jacobsson""",MF,1,0,GAIS Göteborg,hbwOKn4,QZxAEgp
"Egon \Hemliga\"" Jönsson""",FW,1,0,Malmö FF,oU2NX,UmQrsE
Börje Leander,MF,1,0,AIK Solna,00SYn,DRzkCNJJ
"Nils \Lidas\""/\""Greven\"" Liedholm""",FW,6,5,IFK Norrköping,wK81mQC,QRAqasEw
"Torsten \Lindy\"" Lindberg""",GK,5,0,IFK Norrköping,hPZP0AKM,vfnWf
Lennart Lindskog,FW,1,0,Degerfors IF,oZLpqC9r,TwZcd
"Malte \Svarta Blixten\"" Mårtensson""",FW,2,0,Hälsingborgs IF,DrUfYf,ksSjvgRk
