#,Date,Venue,Opponent,Score,Result,Competition,Random_Column_1
1,21 December 2004,"Rajamangala Stadium, Bangkok, Thailand",Thailand,3–1,5–1,Friendly,SOSWsqp
2,21 December 2004,"Rajamangala Stadium, Bangkok, Thailand",Thailand,5–1,5–1,Friendly,amkEL
3,26 March 2005,"Bežigrad Stadium, Ljubljana, Slovenia",Slovenia,1–0,1–0,Friendly,eM4Lb
4,4 June 2005,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,4–1,4–1,Friendly,RyCfV
5,15 June 2005,"Commerzbank-Arena, Frankfurt, Germany",Australia,4–2,4–3,FIFA Confederations Cup 2005,8WiaJd
6,25 June 2005,"Frankenstadion, Nuremberg, Germany",Brazil,1–1,2–3,FIFA Confederations Cup 2005,V8PPqz
7,29 June 2005,"Zentralstadion, Leipzig, Germany",Mexico,1–0,4–3,FIFA Confederations Cup 2005,9ENGeb
8,7 September 2005,"Olympiastadion Berlin, Berlin, Germany",South Africa,1–0,4–2,Friendly,ilbtwM
9,7 September 2005,"Olympiastadion Berlin, Berlin, Germany",South Africa,3–1,4–2,Friendly,STGZ7fPW
10,7 September 2005,"Olympiastadion Berlin, Berlin, Germany",South Africa,4–2,4–2,Friendly,GARv20
11,27 May 2006,"Badenova Stadion, Freiburg, Germany",Luxembourg,3–0,7–0,Friendly,VCRAnxb
12,27 May 2006,"Badenova Stadion, Freiburg, Germany",Luxembourg,5–0,7–0,Friendly,iqjfh
