City/Municipality,City/Municipality,No. ofBarangays,Area(hectares),Population(2010),Income Class(2010),Mayor(2010–2013),Filler_1
,Pamplona,17,"8,060","34,471",4th class,Gimeno A. Imperial,mEpAqe
,Pasacao,19,"14,954","45,946",3rd class,Asuncion V. Arsenio,forDMpZ
,Pili,26,"12,625","82,307",1st class,"Tomas P. Bongalonta, Jr.",zYhuzXbL
,Presentacion,18,"14,380","20,023",4th class,Joey A. Deleña,kiCGxfPB
,Ragay,38,"40,022","54,934",1st class,Ricardo B. Aquino,TMgaK
,Sagñay,19,"15,476","31,314",4th class,Evelyn B. Fuentebella,uvtKr
,San Fernando,22,"7,176","33,281",4th class,"Eugenio \jun\"" Lagasca",johTaVTF
,San Jose,29,"4,307","38,523",4th class,Antonio B. Chavez,ffDPF
,Sipocot,46,"24,343","64,042",1st class,Rogenor R. Astor,lWYwapE
,Siruma,22,"14,127","17,050",4th class,Sandy S. Ondis Sr.,fPpSWQNI
,Tigaon,23,"7,235","48,611",3rd class,Arnulf Bryan B. Fuentebella,cMJxs
,Tinambac,44,"35,162","62,435",1st class,Ruel T. Velarde,VTlxz
