Name,Date of Death,Ceremony,Year,Academy Award,Film,Winner,Random_Column_1,Extra_Data_2,Unused_3
Stuart Gilmore,"November 19, 1971",44th,1971,Best Film Editing,The Andromeda Strain,,QBxPb5d,733,
Thomas C. Goodwin,"December 11, 1992",65th,1992,Best Documentary (Short Subject),Educating Peter,Won,9q4koPW,164,
Conrad Hall,"January 4, 2003",75th,2002,Best Cinematography,Road to Perdition,Won,2boIOZ,878,
David Hall,"July 23, 1964",38th,1965,Best Art Direction,The Greatest Story Ever Told,,HoGxB5,604,
Dale Hennesy,"July 20, 1981",55th,1982,Best Art Direction,Annie,,26q1dbD1,209,
Bernard Herrmann,"December 24, 1975",49th,1976,Best Music (Scoring),Obsession,,OulTKF,141,
Bernard Herrmann,"December 24, 1975",49th,1976,Best Music (Scoring),Taxi Driver,,W0nYW,904,
Gordon Hollingshead,"July 8, 1952",25th,1952,Best Short Film (Live Action),Desert Killer,,ZAGj3Vzd,552,
Gordon Hollingshead,"July 8, 1952",25th,1952,Best Short Film (Live Action),Thar She Blows!,,Aws95W51,955,
William A. Horning,"March 2, 1959",31st,1958,Best Art Direction,Gigi,Won,LJnpWW,423,
William A. Horning,"March 2, 1959",32nd,1959,Best Art Direction,Ben-Hur,Won,KOBFSM4z,177,
