Name,Date of Death,Ceremony,Year,Academy Award,Film,Winner
Raymond Rasch,"December 23, 1964",45th,1972,Best Music (Scoring),Limelight,Won
Gretchen Rau,"March 29, 2006",79th,2006,Best Art Direction,The Good Shepherd,
Ralph Richardson,"October 10, 1983",57th,1984,Best Supporting Actor,"Greystoke: The Legend of Tarzan, Lord of the Apes",
Richard H. Riedel,"March 18, 1960",32nd,1959,Best Art Direction,Pillow Talk,
Larry Russell,"February 14, 1954",45th,1972,Best Music (Scoring),Limelight,Won
Tess Slesinger,"February 21, 1945",18th,1945,Best Writing,A Tree Grows in Brooklyn,
Carol Sobieski,"November 4, 1990",64th,1991,Best Writing,Fried Green Tomatoes,
Gile Steele,"January 16, 1952",24th,1951,Best Costume Design,Kind Lady,
Gile Steele,"January 16, 1952",24th,1951,Best Costume Design,The Great Caruso,
Gile Steele,"January 16, 1952",25th,1952,Best Costume Design,The Merry Widow,
Harry Stradling,"February 14, 1970",42nd,1969,Best Cinematography,"Hello, Dolly!",
