Name,Full name,Caps,Goals,First cap,Opponent,Club,Filler_1,Extra_Data_2,Noise_Field_3
Grafite,Edinaldo Batista Libânio,4,1,27 April 2005,Guatemala,São Paulo,zuFAxv,716,lgGZG
Daniel Carvalho,Daniel da Silva Carvalho,3,1,16 August 2006,Norway,CSKA Moscow,pRwIa,723,EAQhXkB
Rafael Sóbis,Rafael Augusto Sóbis do Nascimento,8,1,3 September 2006,Argentina,Betis Sevilla,ULclhhud,557,lDrJS
Marcelo,Marcelo Vieira da Silva Júnior,25,4,5 September 2006,Wales,Fluminense,rOSOeY,829,SxDZj
Daniel Alves,Daniel Alves da Silva,69,5,10 October 2006,Ecuador,Sevilla FC,JGbcuQ,569,hDFmRmW
Fernando,Fernando Menegazzo,4,0,15 November 2006,Switzerland,Bordeaux,KNuMa,123,YFHio
Helton,Helton da Silva Arruda,3,0,15 November 2006,Switzerland,FC Porto,pqHYsc,173,UUzxQ
Josué,Josué Anunciado de Oliveira,28,1,27 March 2007,Ghana,São Paulo,OHGaNed,340,QZeFI
Ilsinho,Ilson Pereira Dias Júnior,1,0,27 March 2007,Ghana,São Paulo,bAnwibHz,78,UnmfxBir
Anderson,Anderson Luís de Abreu Oliveira,8,0,27 June 2007,Mexico,FC Porto,KLrXRE,141,wDujf
Afonso Alves,Afonso Alves Martins Júnior,8,1,1 June 2007,England,sc Heerenveen,CJKoK,111,bcekHUC
Naldo,Ronaldo Aparecido Rodrigues,4,0,1 June 2007,England,Werder Bremen,KyvAi,323,xUgUqyf
Doni,Doniéber Alexander Marangon,10,0,5 June 2007,Turkey,AS Roma,vjhHzF,547,EmjikDrY
Jô,João Alves de Assis Silva,7,2,5 June 2007,Turkey,CSKA Moscow,GkUIO,943,hcFivqmj
