#,Weekend End Date,Film,Weekend Gross (millions),Notes,Unused_1
43,"October 26, 2008",Saw V,$3.74,High School Musical 3: Senior Year was #1 in North America.,
44,"November 2, 2008",Zack & Miri Make a Porno,$1.53,High School Musical 3: Senior Year was #1 in North America.,
45,"November 9, 2008",Madagascar: Escape 2 Africa,$5.01,,
46,"November 16, 2008",Quantum of Solace,$7.64,,
47,"November 23, 2008",Twilight,$5.30,,
48,"November 30, 2008",Twilight,$2.52,Four Christmases was #1 in North America.,
49,"December 7, 2008",Twilight,$1.52,Four Christmases was #1 in North America.,
50,"December 14, 2008",The Day the Earth Stood Still,$1.81,,
51,"December 21, 2008",Yes Man,$1.22,,
52,"December 28, 2008",The Curious Case of Benjamin Button,$2.22,Marley & Me was #1 in North America.,
