#,Title,Artist,Highest pos. reached,weeks at No. 1,Noise_Field_1
1.,"\Don't Cry for Me Argentina\""""",Julie Covington,1,7,TDUeEGV
2.,"\The Way You That You Do It\""""",Pussyfoot,1,7,ZinmZuAf
3.,"\I Just Want to Be Your Everything\""""",Andy Gibb,1,7,cDkQA
4.,"\That's Rock and Roll\""""",Shaun Cassidy,2,,bftkmu
5.,"\Living Next Door to Alice\""""",Smokie,2,,hpOqy
6.,"\I Go To Rio\""""",Peter Allen,1,5,vBqKTB
7.,"\Torn Between Two Lovers\""""",Mary McGregor,1,4,sFvNUZ
8.,"\Walk Right In\""""",Dr Hook,1,5,EthuPTw
9.,"\You're Moving Out Today\""""",Carole Bayer Sager,1,4,gsrlN
10.,"\If You Leave Me Now\""""",Chicago,1,5 (pkd #1 in 76 & 77),zNfFRJy
11.,"\Don't Give Up on Us\""""",David Soul,1,3,bDysG
12.,"\Lido Shuffle\"" / \""What Can I Say\""""",Boz Scaggs,2,,OyUmlaoW
13.,"\You and Me\""""",Alice Cooper,2,,suhRIvm
