#,Title,Artist,Highest pos. reached,weeks at No. 1
14.,"\Dance Little Lady Dance\""""",Tina Charles,4,
15.,"\When I Need You\""""",Leo Sayer,8,
16.,"\Don't Fall in Love\""""",Ferrets,2,
17.,"\I Feel Love\""""",Donna Summer,1,1
18.,"\Help is on its Way\""""",Little River Band,1,1
19.,"\You Gotta Get Up and Dance\""""",Supercharge,3,
20.,"\Mull of Kintyre\""""",Wings,1,11 (pkd #1 in 77 & 78)
21.,"\Don't Leave Me This Way\""""",Thelma Houston,6,
22.,"\Ain't Gonna Bump No More with No Big Fat Woman\""""",Joe Tex,2,
23.,"\You're in My Heart\""""",Rod Stewart,1,1
24.,"\Ma Baker\""""",Boney M,5,
25.,"\Lucille\""""",Kenny Rogers,7,
