Region,Seed,Team,Coach,Finished,Final opponent,Score,Dummy_Col_1
West,12,Pepperdine,Jim Harrick,Round of 64,5 Maryland,L 69-64,DPsLeRd
West,13,Northeast Louisiana,Mike Vining,Round of 64,4 UNLV,L 74-51,zxlgQJqT
West,14,Utah,Lynn Archibald,Round of 64,3 North Carolina,L 84-72,ASoxa
West,15,Drexel,Eddie Burke,Round of 64,2 Louisville,L 93-73,FWYywLA
West,16,Montana State,Stu Starner,Round of 64,1 St. John's,L 83-74,NsQalA
Midwest,,,,,,,ATtMOoq
Midwest,1,Kansas,Larry Brown,National Semifinals,1 Duke,L 71-67,tScpCM
Midwest,2,Michigan,Bill Frieder,Round of 32,7 Iowa State,L 72-69,bJqdSZO
Midwest,3,Notre Dame,Digger Phelps,Round of 64,14 Arkansas-Little Rock,L 90-83,iesreKG
Midwest,4,Georgetown,John Thompson,Round of 32,5 Michigan State,L 80-68,tHtnkbmj
Midwest,5,Michigan State,Jud Heathcote,Sweet Sixteen,1 Kansas,L 96-86,Kqwzj
Midwest,6,North Carolina State,Jim Valvano,Regional Runner-up,1 Kansas,L 75-67,rCHca
