Region,Seed,Team,Coach,Finished,Final opponent,Score,Irrelevant_1,Irrelevant_2
Midwest,7,Iowa State,Johnny Orr,Sweet Sixteen,6 North Carolina State,L 70-66,Tu2Th,IIalVD5
Midwest,8,Jacksonville,Bob Wenzel,Round of 64,9 Temple,L 61-50,Ll6Oo,gYCvFeNO
Midwest,9,Temple,John Chaney,Round of 32,1 Kansas,L 65-43,3av31l,f19vUy
Midwest,10,"Miami, Ohio",Jerry Peirson,Round of 64,7 Iowa State,L 81-79,aPDjGK,1fc27
Midwest,11,Iowa,George Raveling,Round of 64,6 North Carolina State,L 66-64,XHpOP,2rIRxjL
Midwest,12,Washington,Andy Russo,Round of 64,5 Michigan State,L 72-70,USfND,ivK6sYvM
Midwest,13,Texas Tech,Gerald Myers,Round of 64,4 Georgetown,L 70-64,DBb0Ex,n6R1ze4
Midwest,14,Arkansas-Little Rock,Mike Newell,Round of 32,6 North Carolina State,L 80-66,REuguRk,pKkXwcek
Midwest,15,Akron,Bob Huggins,Round of 64,2 Michigan,L 70-64,8X5onQV,ygx3nPa
Midwest,16,North Carolina A&T,Don Corbett,Round of 64,1 Kansas,L 71-46,NDKssj1,3fLla
Southeast,,,,,,,qdIIu,83yMz
