Year,Film,Language,Actors,Music,Banner,Note
1982,Dil-E-Nadaan,Hindi,"Rajesh Khanna, Shatrughan Sinha, Jayapradha, Smita Patil",Khayyam,,
1983,Thudikkum Karangal,Tamil,"Rajinikanth, Radha, Sujatha",S. P. Balasubramaniam,KRG Films,
1983,Oru Odai Nadhiyagirathu,Tamil,"Raghuvaran, Sumalatha",Ilaiyaraaja,Chitrakala Pictures,
1984,Alaya Deepam,Tamil,"Rajesh, Sujatha",Ilaiyaraaja,KRG Film,
1984,Unnaithedi Varuven,Tamil,,Ilaiyaraaja,,
1984,Thendraley Ennai Thodu,Tamil,"Mohan, Jaisree",Ilaiyaraaja,Devi Royal Production,
1986,Yaaro Ezhuthiya Kavithai,Tamil,"Sivakumar, Jayashree",Ilaiyaraaja,Durga Bagavathy Films,
1986,Naanum Oru Thozhilali,Tamil,"Kamal Hassan, Ambika",Ilaiyaraaja,Chitralaya Films,
1987,Iniya Uravu Poothathu,Tamil,"Suresh, Nadhiya",Ilaiyaraaja,RajaLakshmi Pictures,
1988,Premayanam,Telugu,,,,
1991,Thanthu Vitten Ennai,Tamil,"Vikram, Rohini",Ilaiyaraaja,Chitralaya Films,
