Site name,Reason for designationBiological interest,Reason for designationGeological interest,AreaHectares,AreaAcres,Coordinates & Grid ref,Year in which notified,Other designations,Map & Citation
Ticknall Quarries,,,29.5,73.0,52°48′36″N 1°28′08″W﻿ / ﻿52.81°N 1.469°W    SK359237,1963,"GCR, NT",Map
Tideslow Rake,,,9.7,24.0,53°17′56″N 1°46′34″W﻿ / ﻿53.299°N 1.776°W    SK150780,1990,"SM, NP",Map
Toddbrook Reservoir,,,19.4,48.0,53°19′26″N 1°59′49″W﻿ / ﻿53.324°N 1.997°W    SK003808,1963,,Map
Topley Pike and Deepdale,,,65.2,161.0,53°14′28″N 1°51′22″W﻿ / ﻿53.241°N 1.856°W    SK097716,1965,"NP, NCR, SAC",Map
Upper Lathkill,,,26.8,66.3,53°12′18″N 1°47′20″W﻿ / ﻿53.205°N 1.789°W    SK142676,1989,"GCR, NP",Map
Via Gellia Woodlands,,,219.2,541.6,53°06′29″N 1°35′38″W﻿ / ﻿53.108°N 1.594°W    SK273568,1954,"GCR, SAC",Map
Wall Lands,,,8.9,22.1,53°04′26″N 1°39′40″W﻿ / ﻿53.074°N 1.661°W    SK228530,2011,,Map
Waterswallows Quarry,,,0.7,1.7,53°16′19″N 1°52′48″W﻿ / ﻿53.272°N 1.88°W    SK081750,1993,GCR,Map
Wyns Tor,,,3.1,7.7,53°08′17″N 1°38′35″W﻿ / ﻿53.138°N 1.643°W    SK240602,1972,GCR,Map
"Yarncliff Wood, Padley",,,25.8,63.9,53°18′36″N 1°37′23″W﻿ / ﻿53.31°N 1.623°W    SK252793,1972,NT,Map
