Date,Site,Winning team,Winning team,Losing team,Losing team,Series,Filler_1,Random_Column_2,Irrelevant_3
1970,Columbia,Iowa State,31,Missouri,19,Missouri 39–17–7,LQHEzIM,yrqHo,cPYgQgvj
1971,Ames,Iowa State,45,Missouri,17,Missouri 39–18–7,pIBnM,PlYFwSC,buyDN4U
1972,Columbia,Missouri,6,Iowa State,5,Missouri 40–18–7,svhTR,Zs6xz,PydX6u
1973,Ames,Iowa State,17,Missouri,7,Missouri 40–19–7,VHdsG,8YBaE,E3XhmmOM
1974,Columbia,Missouri,10,Iowa State,7,Missouri 41–19–7,OeWhammi,6qSfXoo,jaHX1R
1975,Ames,Missouri,44,Iowa State,14,Missouri 42–19–7,BdzRWMco,plp6Wt9J,v73k0g
1976,Columbia,Iowa State,21,Missouri,17,Missouri 42–20–7,mGteWPpj,cQCwFtX6,GLUyR
1977,Ames,Iowa State,7,Missouri,0,Missouri 42–21–7,HJhndbX,wVkIVOwy,HzhKbZK
1978,Columbia,Missouri,26,Iowa State,13,Missouri 43–21–7,ctLreX,wz2LVxl,M3zEM1t6
1979,Ames,Missouri,18,Iowa State,9,Missouri 44–21–7,QuSKHV,iDN61,zoIKCpS
1980,Columbia,Missouri,14,Iowa State,10,Missouri 45–21–7,vhFoKj,WJmjd1,Dr8HZoC
