Rank,Hospital,City,County,# Beds,Type of Hospital,Irrelevant_1,Filler_2,Extra_Data_3
12,VA Palo Alto Health Care System,Palo Alto,Santa Clara,967,Veteran Admin,qz3MnLwb,zsupm,784
13,Cedars-Sinai Medical Center,West Hollywood,Los Angeles,952,General Acute Care,Vc2PcB,ZSEURtNH,357
14,Loma Linda University Medica Center,Loma Linda,San Bernardino,822,University/Teaching,8fPp8,QxRrIEn,218
15,UCLA Medical Center,Los Angeles,Los Angeles,668,General Acute Care,jNibIXHc,YtKMxvV,874
16,Kaweah Delta Regional Medical Center,Visalia,Tulare,629,General Acute Care,dI5JJ,yMNovpFo,811
17,Naval Medical Center,San Diego,San Diego,620,Military,mTig8ez,WNyNpvDP,351
18,UCSD Medical Center,San Diego,San Diego,594,University/Teaching,Vs5u13,iVxzSb,743
19,UCSF Medical Center Mount Zion,San Francisco,San Francisco,579,General Acute Care,LaggGP,xeHlB,718
20,UCD Medical Center,Sacramento,Sacramento,577,University/Teaching,kLFc2W,FqHpd,286
21,California Pacific/Calif Campus,San Francisco,San Francisco,572,General Acute Care,aXocQ8u,Zedzs,941
