,Name,Distance,Date,Location
1.,Seppo Simola,20.15,"July 19, 1972","Turku, Finland"
2.,Matti Yrjölä,20.04,"August 2, 1972","Hämeenkyrö, Finland"
3.,Bo Grahn,20.09,"August 3, 1972","Helsinki, Finland"
4.,Reijo Ståhlberg,20.38,"July 26, 1973","Turku, Finland"
5.,Markku Tuokko,20.03,"August 18, 1979","Mikkeli, Finland"
6.,Aulis Akonniemi,20.12,"July 25, 1982","Ähtäri, Finland"
7.,Janne Ronkainen,20.02,"May 11, 1986","Leselidse, Soviet Union"
8.,Jari Kuoppa,20.17,"June 12, 1986","Ähtäri, Finland"
9.,Kari Töyrylä,20.05,"July 2, 1986","Kauhajoki, Finland"
10.,Markus Koistinen,20.31,"June 13, 1993","Luumäki, Finland"
