Name,Founded,Defunct,Country,Publisher,Topics,External Link
PC Gamer,1993,,United KingdomUnited States,Future Publishing,PC games,http://www.pcgamer.com
PC Games,1992,,Germany,?,PC games,http://www.pcgames.de/
PC Accelerator,,2000,United States,?,PC Games,N/A
PC Mania,1998,2009,Bulgaria,?,PC games,http://www.pcmania.bg/
Pelit,1992,,Finland,?,The oldest and most popular videogame magazine of Finland.,http://www.pelit.fi
Play,1994,2013,People's Republic of China,Science Popularization Publication,,http://www.playmediacompany.it/edicola/edicola-01.asp?Id=2482
PlayStation Magazine Ufficiale,2002,,Italy,?,Italian PlayStation related topics,http://www.joyplay.cn
PlayStation Official Magazine (UK),2006,,United Kingdom,?,UK PlayStation related topics,?
PlayStation: The Official Magazine,1997,2012,United States,?,PlayStation related topics,http://playstationthemagazine.com/
Planet PC,1999,2001,United Kingdom,?,PC games,?
