Name,Founded,Defunct,Country,Publisher,Topics,External Link,Irrelevant_1,Filler_2
Popsoft,1995,,People's Republic of China,?,PC games and software,http://www.popsoft.com.cn/,578pq,XhMKX
Power Unlimited,1993,,The Netherlands,?,Dutch gaming magazine,http://www.pu.nl/,J0kDJsPs,jsjQWGPp
PSM3,2000,2012,United Kingdom,Future Publishing,Sony video game consoles and PlayStation games,?,TvGmAkoR,rfVvy
PNM (Pure Nintendo),2011,,United States,MagCloud/Pure Media LLC,All things Nintendo related,http://purenintendo.com/magazine,3nfjBCH,zSfgQna
Retro,2013,,United States,GameGavel LLC,Retro and retro-inspired games and topics,http://readretro.com,WdAFVu,stenT
Retro Gamer,2004,,United Kingdom,Imagine Publishing,"Retro games from multiple platforms, often via an Emulator",http://www.retrogamer.net/,QjjHxfV,LZHDND
ST/Amiga Format,1988,1989,United Kingdom,Future Publishing,Amiga and Atari ST magazine with hardware focus. Split into ST Format and Amiga Format in 1989.,http://www.amigahistory.co.uk/aformat.html,kQuImSG,zcAGf
ST Format,1989,1996,United Kingdom,Future Publishing,Atari ST magazine with hardware focus.,http://www.stformat.com/,pzxUQ,dEHDnvvI
Sega Force,1992,1993,United Kingdom,Europress Impact,Sega games magazine,?,TGgk38AI,xzbQGxFK
Sega Power,1989,1997,United Kingdom,?,?,N/A,Mogxb,ofYaxdaM
