Alumni Chapters and Clubs,Location,Founding Date,Years Active,Province,Irrelevant_1,Dummy_Col_2,Unused_3
Zeta Alpha,"Detroit, MI",1925,,Beta,cpaTnfoB,ZJwsCW,
Zeta Beta *,"Columbus, OH","December 14, 1926",,Alpha North,VNkwH3Y,pwczzH,
Zeta Gamma,"Cincinnati, OH","December 14, 1926",,Alpha South,hZjF29T,rrYnk,
Zeta Delta,"Milwaukee, WI","February 7, 1927",1927–present,Mu,HC3UEVo9,XJvYluol,
Zeta Epsilon *,"Chicago, IL","May 21, 1928",,,e3pmL,bQiwnoKi,
Zeta Zeta,"Denver, CO","November 23, 1940",,Gamma,3R5fa,wGsTeMun,
Zeta Eta,"Bloomington-Normal, IL","December 13, 1941",,Delta,AxdLG9yD,MvQzHiGv,
Zeta Theta *,"Los Angeles, CA",1943,,,WJycPBUm,cdRLIfam,
Zeta Iota *,"Louisville, KY",1944,?-2013,Alpha South,yb3Wj7,QNMTO,
Zeta Kappa *,"Cincinnati, OH","May 16, 1946",,,0tlgaK,TxNgBc,
Zeta Lambda *,"Baton Rouge, LA",1946,,,bGqIbDp,MFcFegZ,
