Year,Competition,Venue,Position,Event,Notes,Filler_1,Dummy_Col_2,Irrelevant_3
1994,European Championships,"Helsinki, Finland",48th,Marathon,2:22:49,YLlLE,SfBawObA,BgQi9jq
1995,World Championships,"Gothenburg, Sweden",49th,Marathon,2:33:42,cPBNNs,DJgyaDkn,OND4hh
1996,Summer Olympics,"Atlanta, Georgia",58th,Marathon,2:23:14,Ushhomu,dAESU,LxhZ5XDl
1997,World Championships,"Athens, Greece",48th,Marathon,2:29:10,BGGJzp,UITBQC,vuCwurT
1998,World Cross Country Championships,"Marrakech, Morocco",85th,Long race,,QVxCqJ,hrbySeZ,IGH1Cimz
1998,World Half Marathon Championships,"Uster, Switzerland",66th,Half marathon,1:05:00,QyJsALwW,vErGBgq,CWqPB
1998,European Championships,"Budapest, Hungary",29th,Marathon,2:19:38,drQQv,ZxQWTqA,BhmF6h
1999,World Half Marathon Championships,"Palermo, Italy",55th,Half marathon,1:05:45,BGokKc,dOqVVJCY,4QVu9Qu5
1999,Frankfurt Marathon,"Frankfurt, Germany",1st,Marathon,2:12:37,IHSGLvaE,YzDIr,e1sA4
1999,Helsinki Marathon,"Helsinki, Finland",1st,Marathon,2:19:18,gppxtj,jCSNVNt,YXZf5Ry6
2000,Summer Olympics,"Sydney, Australia",35th,Marathon,2:19:41,xMAJWG,bJaZC,mPKfY4K
2001,Frankfurt Marathon,"Frankfurt, Germany",1st,Marathon,2:11:09,rcdRLNLX,yJlRponQ,i0HKs
