Payload type (PT),Name,Type,No. of channels,Clock rate (Hz),Frame size (ms),Default packet size (ms),Description,References
dynamic,iLBC,audio,1,8000,20 or 30,"20 or 30, respectively",Internet low Bitrate Codec 13.33 or 15.2 kbit/s,RFC 3952
dynamic,PCMA-WB,audio,,16000,5,,"ITU-T G.711.1, A-law",RFC 5391
dynamic,PCMU-WB,audio,,16000,5,,"ITU-T G.711.1, µ-law",RFC 5391
dynamic,G718,audio,,32000 (placeholder),20,,ITU-T G.718,draft-ietf-avt-rtp-g718-03
dynamic,G719,audio,(various),48000,20,,ITU-T G.719,RFC 5404
dynamic,G7221,audio,,"32000, 16000",20,,ITU-T G.722.1,RFC 5577
dynamic,G726-16,audio,1,8000,any,20,ITU-T G.726 audio with 16 kbit/s,RFC 3551
dynamic,G726-24,audio,1,8000,any,20,ITU-T G.726 audio with 24 kbit/s,RFC 3551
dynamic,G726-32,audio,1,8000,any,20,ITU-T G.726 audio with 32 kbit/s,RFC 3551
dynamic,G726-40,audio,1,8000,any,20,ITU-T G.726 audio with 40 kbit/s,RFC 3551
dynamic,G729D,audio,1,8000,10,20,ITU-T G.729 Annex D,RFC 3551
