Rank,Name,Nation(s),Born,Ascended,Years reigned,Extra_Data_1,Random_Column_2,Noise_Field_3
1.,Bhumibol Adulyadej,Thailand,5 December 1927,9 June 1946,"68 years, 3 days",571,Z79wR,MEWNWXp
2.,Elizabeth II,Commonwealth realms,21 April 1926,6 February 1952,"62 years, 126 days",882,iCijwxt,pkpqEEWl
3.,Abdul Halim,Kedah (Malaysia),28 November 1927,14 July 1958,"55 years, 333 days",36,fSUK18Vn,hhosTal
4.,Sikiru Kayode Adetona,Ijebuland (Nigeria),10 May 1934,4 January 1960,"54 years, 159 days",468,ekCwWg,eJQArf
5.,Hassanal Bolkiah,Brunei,15 July 1946,5 October 1967,"46 years, 250 days",532,yMT79,atvAsqP
6.,Goodwill Zwelithini kaBhekuzulu,Zulu people (South Africa),14 July 1948,17 September 1968,"45 years, 268 days",64,fW3pwPA3,AjVrjW
7.,Qaboos bin Said al Said,Oman,18 November 1940,23 July 1970,"43 years, 324 days",647,qPRPq1,wagceax
8.,Margrethe II,Denmark,16 April 1940,14 January 1972,"42 years, 149 days",84,N226ZR4K,dppvdp
9.,Sultan bin Mohamed Al-Qassimi III,Sharjah (United Arab Emirates),2 July 1939,25 January 1972,"42 years, 138 days",85,AmDMub,AJmpNzS
10.,Carl XVI Gustaf,Sweden,30 April 1946,15 September 1973,"40 years, 270 days",23,6x5OTuBZ,lGMIgvSG
11.,Ahmad Shah,Pahang (Malaysia),24 October 1930,7 May 1974,"40 years, 36 days",928,gqnDFvSJ,JUPNb
