Rank,Name,Nation(s),Born,Ascended,Years reigned
12.,Hamad bin Mohammed Al Sharqi,Fujairah (United Arab Emirates),25 August 1948,18 September 1974,"39 years, 267 days"
13.,Juan Carlos I,Spain,5 January 1938,22 November 1975,"38 years, 202 days"
14.,Humaid bin Rashid Al Nuaimi,Ajman (United Arab Emirates),1931,6 September 1981,"32 years, 279 days"
15.,Azlan Muhibbuddin Shah,Perak (Malaysia),19 April 1928,3 February 1984,"30 years, 129 days"
16.,Mswati III,Swaziland,19 April 1968,25 April 1986,"28 years, 48 days"
17.,Akihito,Japan,23 December 1933,7 January 1989,"25 years, 156 days"
18.,Hamengkubuwana X,Yogyakarta (Indonesia),2 April 1946,7 March 1989,"25 years, 97 days"
19.,Hans-Adam II,Liechtenstein,14 February 1945,13 November 1989,"24 years, 211 days"
20.,Letsie III,Lesotho,17 July 1963,12 November 1990,"23 years, 212 days"
21.,Harald V,Norway,21 February 1937,17 January 1991,"23 years, 146 days"
22.,Muwenda Mutebi II,Buganda (Uganda),13 April 1955,24 July 1993,"20 years, 323 days"
