Name,,Local names,Sort,"Canton(s), neighboring countries",Area in km²,Elevationm,max. depthin meter,Dummy_Col_1,Filler_2,Dummy_Col_3
Lake Murten,,"Murtensee, Lac de Morat",Murten,"Fribourg, Vaud",22.80,429.2,46,StutOm,IfLvqy,ZYwFgbFF
Lake Sempach,,Sempachersee,Sempach,Lucerne,14.36,503.8,87,YMhUG,tlIHAi,llaLXW
Sihlsee,,Sihlsee,Sihl,Schwyz,10.72,889,23,dwYKz,DhGlvW,zeFRiKme
Lake Hallwil,,Hallwilersee,Hallwil,"Aargau, Lucerne",10.21,448.7,47,fdNpfV,RGwkk,dLHri
Lac de la Gruyère,↑,Lac de la Gruyère,Gruyère,Fribourg,9.60,677,75,RhkoD,MCSiSb,PhcjLF
Lac de Joux andLac Brenet,*,Lac de Joux andLac Brenet,Joux,Vaud,9.56,1004,34,WYLrkzdP,CCqco,MlIefFT
Greifensee,,Greifensee,Greifensee,Zurich,8.17,435.1,34,YkSBt,xxngjFPj,jADPpRZ
Lake Sarnen,,Sarnersee,Sarnen,Obwalden,7.38,468.4,52,JQGPNNl,VGMGJUVD,qcJJvo
Ägerisee,,Ägerisee,Aegeri,Zug,7.25,723.9,82,lFAXJO,ieQhdqg,YLKMO
Lake Baldegg,,Baldeggersee,Baldegg,Lucerne,5.24,463.0,66,udutIjK,NpdhEA,CLoqY
Lago di Livigno,↑,Lago di Livigno,Livignio,"Italy, Grisons",4.71,1805,119,IkxJlt,PMIykWz,HKGReck
