Name,Club,Position,Years,Current status,International caps,Dummy_Col_1,Filler_2,Random_Column_3
Lucas Neill*,Sydney FC,DF,1994–95,Playing,89,wdQHbIuM,MsqpNbE,k7eLD
Josip Šimunić*,Dinamo Zagreb,DF,1995–96,Playing,100,RwQzvsL,ivDbA,FWEFq53a
Brett Emerton*,Sydney FC,MF,1996,Playing,95,PjNjxSPR,CYsTjRVi,dAABdO
Vince Grella*,,MF,1996,Retired,46,oKpmb,FhNkbFl,Bl3bt
Simon Colosimo,Melbourne Heart,DF,1996–97,Playing,26,ekxYkES,WWGtRaX,ZLKrcsD2
Anthony Šerić*,Karabükspor,MF,1996–97,Playing,16,MAYoxCMA,pRhFL,uQshpR
Mile Sterjovski*,Central Coast Mariners,MF,1996–98,Playing,43,kGPdIs,yVqxrhsO,bps4NF
Mark Bresciano*,Al-Gharafa,MF,1997,Playing,65,KeAOjOmn,EKdYXGO,1kmJk5Xr
Ivan Ergić*,Free Agent,MF,1997–98,Playing,11,eOhKNFK,INDrbNRn,YTYuPwP
Ljubo Miličević,Free Agent,DF,1997–98,Playing,8,gKvXx,BFGGEo,BrnFc
Luke Wilkshire*,FC Dynamo Moscow,MF,1997–98,Playing,74,mobpG,pWfCL,aZ3txSl
