No.,Name,Term of office,Term of office,Political party,Ministry,Unused_1,Noise_Field_2
1,C. D. Howe,"November 2, 1936","July 8, 1940",Liberal,16 (King),,fTeqr
2,Arthur Cardin,"July 8, 1940","May 13, 1942",Liberal,16 (King),,ziwTvGm
–,C. D. Howe (acting),"May 13, 1942","October 6, 1942",Liberal,16 (King),,GKtiELI
3,Joseph-Enoil Michaud,"October 6, 1942","April 18, 1945",Liberal,16 (King),,bZrsxhsx
4,Lionel Chevrier,"April 18, 1945","July 1, 1954",Liberal,17 (St. Laurent),,IvJJIbdH
5,George Carlyle Marler,"July 1, 1954","June 21, 1957",Liberal,17 (St. Laurent),,yKaCItr
6,George Hees,"June 21, 1957","October 11, 1960",Progressive Conservative,18 (Diefenbaker),,NDkCCH
7,Léon Balcer,"October 11, 1960","April 22, 1963",Progressive Conservative,18 (Diefenbaker),,CRvkR
8,George McIlraith,"April 22, 1963","February 3, 1964",Liberal,19 (Pearson),,uAbuw
9,Jack Pickersgill,"February 3, 1964","September 19, 1967",Liberal,19 (Pearson),,ZKxPLFi
10,Paul Hellyer,"September 19, 1967","April 20, 1968",Liberal,19 (Pearson),,DyqQFs
10,Paul Hellyer,"April 20, 1968","April 30, 1969",Liberal,20 (Trudeau),,GyjXcwz
