Year,Date,Winner,Make,Pole,Make,Results,Unused_1,Filler_2,Dummy_Col_3
1992,October 4,Tim Steele,Chevrolet,Mike Garvey,Ford,Report,,ieuRhd,kGzXZxKn
1993,October 3,Mike Cope,Oldsmobile,Hal Goodson,Ford,Report,,WqwtC,afEqXXNp
1994,October 2,Mike Cope,Oldsmobile,Toby Porter,Oldsmobile,Report,,ZUSLNJbg,SoiYeGl
1995,October 1,Mike Cope,Chevrolet,"Ron Barfield, Jr.",Ford,Report,,vhBDbV,OgvdUe
1996,September 29,Scot Walters,Chevrolet,Wayne Anderson,Chevrolet,Report,,AFyple,YSQCx
1997,September 28,"Hank Parker, Jr.",Chevrolet,Nipper Alsup,Chevrolet,Report,,jpiZKrmz,vwqToz
1998,September 27,Derrick Gilchrist,Chevrolet,Jeff Fultz,Chevrolet,Report,,PWLvNxW,BzIKzs
1999,September 26,Brian Ross,Chevrolet,Matt Hagans,Ford,Report,,vGdDEuF,PVloPE
2000,October 1,Gary St. Amant,Chevrolet,Larry Foyt,Pontiac,Report,,UBxpBdc,aXJSR
2001,September 23,Joey Clanton,Chevrolet,David Stremme,Ford,Report,,ZBWPph,mUFvsr
2002,October 6,Gary St. Amant,Chevrolet,David Stremme,Chevrolet,Report,,ZQzJsb,nzPwZbQK
