Number,Name,Team,Position,Years with franchise,Note
11,Isiah Thomas,Detroit Pistons,G,1981–1994,Wore No. 42 for one playoff game in 1985 (due to his jersey stolen).
15,Vinnie Johnson,Detroit Pistons,G,1981–1991,
16,Bob Lanier,Detroit Pistons,C,1970–1981,
21,Dave Bing,Detroit Pistons,G,1966–1975,
40,Bill Laimbeer,Detroit Pistons,C,1982–1994,
—,William Davidson,Detroit Pistons,—,1974–2009,As team owner.
—,Jack McCloskey,Detroit Pistons,—,1979–1992,As general manager.
13,Wilt Chamberlain,Golden State Warriors,C,1959–1965,Team was in Philadelphia through 1959–1962 and in San Francisco through 1962–1965.
14,Tom Meschery,Golden State Warriors,F,1961–1971,Team was in Philadelphia through 1961–1962 and San Francisco through 1962–1971.
16,Al Attles,Golden State Warriors,G,1960–1971,Also served as head coach (1969–1983).
17,Chris Mullin,Golden State Warriors,SG/SF,1985–1997; 2000–2001,Also served as Executive Vice President of Basketball Operations (2004-2009).
24,Rick Barry,Golden State Warriors,F,1965–1967; 1972–1978,
42,Nate Thurmond,Golden State Warriors,C,1963–1974,Team bore the San Francisco name through 1963–1971 before adopting the Golden State name starting with the 1971–72 season.
22,Clyde Drexler,Houston Rockets,G,1995–1998,Also served as broadcaster (2005–present).
23,Calvin Murphy,Houston Rockets,G,1970–1983,Also served as broadcaster (1985–2004).
24,Moses Malone,Houston Rockets,C,1976–1982,
34,Hakeem Olajuwon,Houston Rockets,C,1984–2001,
45,Rudy Tomjanovich,Houston Rockets,F,1970–1981,Also served as head coach (1991–2003).
CD,Carroll Dawson,Houston Rockets,—,1980–1995; 1995–2007,As assistant coach (1980–1995) and general manager (1995–2007).
