City2010 census,Chinese,Built-up Area,Urban Area,Level,Administrative Area,Province-level division,Remarks
Guangzhou,广州,2.8,"11,070,654",Sub-provincial cityProvincial capitalNational central city,"12,700,800",Guangdong,"Incl. Shenzhen, Dongguan, Macao and part of Foshan, Jiangmen, Zhongshan, Zhuhai and Huizhou."
Shanghai,上海,"27,965,403","22,265,426",MunicipalityNational central city,"23,019,148",Shanghai,Incl. all Suzhou districts but Changshu and Zhangjiagang not yet in built-up area.
Beijing,北京,"19,785,051","19,295,000",MunicipalityNational central city,"19,612,368",Beijing,"Incl. the cities of Zhuozhou and Sanhe and Dachang Hui Autonomous County in Hebei, but not Miyun, Pinggu and Yanqing suburban districts not yet linked to built-up area."
Shantou,汕头,"11,630,447","1,346,708",Prefecture-level citySpecial Economic Zones,"5,391,028",Guangdong,Incl. most districts of Jieyang and Chaozhou
Shenzhen,深圳,Guangzhou,"10,357,938",Sub-provincial citySpecial Economic Zones,"10,357,938",Guangdong,
Tianjin,天津,"10,290,987","11,090,314",MunicipalityNational central city,"12,937,954",Tianjin,Baodi urban District not yet in built-up area.
Chengdu,成都,"9,209,393","7,677,122",Sub-provincial cityProvincial capital,"14,047,625",Sichuan,Incl. 8 out of 9 urban districts plus Pi and Shuangliu counties being urbanized.
Dongguan,东莞,Guangzhou,"8,220,937",Prefecture-level city,"8,220,937",Guangdong,
Hangzhou,杭州,"8,156,600","6,242,000",Sub-provincial cityProvincial capital,"8,700,400",Zhejiang,Incl. Shaoxing and Yuecheng districts of Shaoxing city
Wuhan,武汉,"7,297,141","9,780,644",Sub-provincial cityProvincial capital,"9,785,392",Hubei,7 central urban districts plus Caidian and Dongxihu districts but not Water region.
Xi'an,西安,"7,168,005","6,501,189",Sub-provincial cityProvincial capital,"8,467,837",Shaanxi,Incl. Qindu and Weicheng urban districts of Xianyang.
Nanjing,南京,"7,165,828","7,165,828",Sub-provincial cityProvincial capital,"8,004,680",Jiangsu,Incl. 6 urban and 3 suburban districts.
Hong Kong,香港,"7,055,071","7,055,071",Special administrative regionNational central city,"7,055,071",Hong Kong,Not included in Guangzhou - Shenzhen built up area.
Chongqing,重庆,"6,777,200","7,457,600",MunicipalityNational central city,"28,846,170",Chongqing,Incl. 6 urban districts plus Banan and Yubei suburban districts. Beibei District not yet built-up.
Shenyang,沈阳,"6,982,162","5,967,526",Sub-provincial cityProvincial capital,"8,106,171",Liaoning,Incl. all Shenyang urban districts but Shenbei plus 4 Fushun urban districts.
Quanzhou,泉州,"6,070,717","1,398,427",Prefecture-level city,"8,128,530",Fujian,
Wenzhou,温州,"5,853,500","3,039,500",Prefecture-level city,"9,122,100",Zhejiang,Incl. 3 urban districts plus Ruian and Yueqing cities being urbanized.
Qingdao,青岛,"5,764,400","4,587,200",Sub-provincial city,"8,715,100",Shandong,Incl. 6 urban districts plus Jimo city being urbanized.
Suzhou,苏州,Shanghai,"5,349,090",Prefecture-level city,"10,465,994",Jiangsu,
Harbin,哈尔滨,"5,282,083","4,517,549",Sub-provincial cityProvincial capital,"10,635,971",Heilongjiang,Incl. 6 urban districts plus Hulan County being urbanized.
Xiamen,厦门,"5,114,758","3,531,347",Sub-provincial citySpecial Economic Zones,"3,531,147",Fujian,"Incl. all Xiamen city plus Longwen, Xiacheng Zhangzhou urban districts and Longhai city being urbanized."
