Against,Played,Won,Drawn,Lost,Win %,Noise_Field_1,Irrelevant_2,Irrelevant_3
Italy,27,3,1,23,11.11%,fclWQqbP,Sak2hd,b4wkr
Japan,3,0,0,3,0%,KidAMFI,wSJFk,l9xN8IM
Moldova,1,1,0,0,100%,snfPzVHp,BMl9ap,iuL1U
Morocco,17,10,1,6,58.82%,foStgKeV,w2uw0,Cxf9bSQ
Namibia,2,2,0,0,100%,uvGzaQ,UJAf7PnY,DvwZFx
Netherlands,13,12,1,0,92.31%,QOger,XvC5hCtf,dF5SV
New Zealand Services,2,0,0,2,0%,qVzDVR,ba6bNw,vNgkvfI
Poland,16,10,0,6,62.50%,WvOBCT,WkyEa,qd6q9QSq
Portugal,33,21,2,10,63.63%,pMxsoKGk,ghpzmY3D,7A4z3hd
Czech Republic,8,2,0,6,75%,efbWjf,ICXdL,XkWMtp
