Medal,Name,Sport,Event,Date
Gold,Brahim Asloum,Boxing,Light Flyweight,September 30
Gold,Tony Estanguet,Canoeing,Men's slalom C-1,September 18
Gold,Florian Rousseau,Cycling,Men's Keirin,September 21
Gold,"Florian Rousseau, Laurent Gané, Arnaud Tournant",Cycling,Men's team sprint,September 17
Gold,Félicia Ballanger,Cycling,Women's track time trial,September 16
Gold,Félicia Ballanger,Cycling,Women's sprint,September 17
Gold,Miguel Martinez,Cycling,Men's cross-country,September 24
Gold,"Jean-Noël Ferrari, Brice Guyart,Patrice Lhotellier, Lionel Plumenail",Fencing,Men's team foil,September 22
Gold,David Douillet,Judo,Men's +100 kg,September 22
Gold,Séverine Vandenhende,Judo,Women's 63 kg,September 18
Gold,Franck Dumoulin,Shooting,Men's 10 m air pistol,September 16
Gold,"Michel Andrieux, Jean-Christophe Rolland",Rowing,Men's coxless pair,September 23
Gold,"Jean-Christophe Bette, Xavier Dorfman,Yves Hocdé, Laurent Porchier",Rowing,Men's coxless four,September 24
