MAINLAND,Area(sq miles),Area(km²),Population(2011),Density(per km²),Noise_Field_1,Random_Column_2
Falkirk,113,293,"156,000",532,cfKcC,qN7Lyg4
Fife,517,"1,340","365,200",273,uuWeUULZ,cjDYZd0
Glasgow City,68,175,"593,200",3390,OYcSKo,NCcRf
Highland,"10,085","26,119","232,100",9,vjegV,nZprvSd
Inverclyde,64,167,"81,500",488,yrhHKHr,zyxmJNQN
Midlothian,135,350,"83,200",238,rxuFalvp,DzINI
Moray,864,"2,237","93,300",42,oAUdQ,E4SQk28V
North Ayrshire,343,888,"138,200",156,XHssx,7vKztg0r
North Lanarkshire,184,476,"337,800",710,FaVyAPd,7s1sMx
Perth and Kinross,"2,083","5,395","146,700",27,mTQsa,K6SFLUf5
Renfrewshire,102,263,"174,900",665,eWOBTsP,aqJi8N
Scottish Borders,"1,825","4,727","113,900",24,tYfApS,hp5mc
