Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Emeryson Cars,Lotus-Climax,18,Climax FPF 1.5 L4,D,John Campbell-Jones,3
Emeryson Cars,Emeryson-Climax,61,Climax FPF 1.5 L4,D,Tony Settember,"5, 7"
Equipe Nationale Belge,Lotus-Climax,18/21,Climax FPF 1.5 L4,D,Lucien Bianchi,"3, 6"
Ecurie Filipinetti,Lotus-Climax,21,Climax FPF 1.5 L4,D,Jo Siffert,"3, 6"
Ecurie Filipinetti,Lotus-BRM,24,BRM P56 1.5 V8,D,Jo Siffert,"4, 7"
Ecurie Filipinetti,Lotus-BRM,24,BRM P56 1.5 V8,D,Heinz Schiller,6
Ecurie Filipinetti,Porsche,718,Porsche 547/3 1.5 F4,D,Heini Walter,6
Autosport Team Wolfgang Seidel,Lotus-BRM,24,BRM P56 1.5 V8,D,Dan Gurney,3
Autosport Team Wolfgang Seidel,Lotus-BRM,24,BRM P56 1.5 V8,D,Wolfgang Seidel,5–6
Autosport Team Wolfgang Seidel,Lotus-BRM,24,BRM P56 1.5 V8,D,Gunther Seiffert,6
