Rank,Representative,Party,District,Seniority date,Notes
405,Phil Hare,D,IL-17,"January 4, 2007",
406,Dean Heller,R,NV-2,"January 4, 2007",
407,Mazie Hirono,D,HI-2,"January 4, 2007",
408,Paul Hodes,D,NH-2,"January 4, 2007",
409,Hank Johnson,D,GA-04,"January 4, 2007",
410,Jim Jordan,R,OH-04,"January 4, 2007",
411,Steve Kagen,D,WI-8,"January 4, 2007",
412,Ron Klein,D,FL-22,"January 4, 2007",
413,Doug Lamborn,R,CO-5,"January 4, 2007",
414,Dave Loebsack,D,IA-2,"January 4, 2007",
415,Tim Mahoney,D,FL-16,"January 4, 2007",Left the House in 2009.
416,Kevin McCarthy,R,CA-22,"January 4, 2007",
417,Jerry McNerney,D,CA-11,"January 4, 2007",
418,Harry Mitchell,D,AZ-5,"January 4, 2007",
419,Christopher Murphy,D,CT-5,"January 4, 2007",
420,Patrick Murphy,D,PA-08,"January 4, 2007",
421,Ed Perlmutter,D,CO-7,"January 4, 2007",
422,Peter Roskam,R,IL-06,"January 4, 2007",
423,Bill Sali,R,ID-1,"January 4, 2007",Left the House in 2009.
424,John Sarbanes,D,MD-3,"January 4, 2007",
425,Joe Sestak,D,PA-07,"January 4, 2007",
426,Heath Shuler,D,NC-11,"January 4, 2007",
427,Carol Shea-Porter,D,NH-1,"January 4, 2007",
428,Adrian Smith,R,NE-3,"January 4, 2007",
429,Zack Space,D,OH-18,"January 4, 2007",
430,Betty Sutton,D,OH-13,"January 4, 2007",
431,Tim Walberg,R,MI-07,"January 4, 2007",Left the House in 2009.
432,Tim Walz,D,MN-1,"January 4, 2007",
433,Peter Welch,D,VT,"January 4, 2007",
434,Charlie Wilson,D,OH-06,"January 4, 2007",
435,John Yarmuth,D,KY-3,"January 4, 2007",
,Paul Broun,R,GA-10,"July 25, 2007",
,Laura Richardson,D,CA-37,"September 4, 2007",
,Niki Tsongas,D,MA-05,"October 18, 2007",
,Bob Latta,R,OH-05,"December 13, 2007",
,Rob Wittman,R,VA-01,"December 13, 2007",
,Bill Foster,D,IL-14,"March 11, 2008",
,André Carson,D,IN-7,"March 13, 2008",
,Jackie Speier,D,CA-12,"April 10, 2008",
,Don Cazayoux,D,LA-6,"May 6, 2008",Left the House in 2009.
,Steve Scalise,R,LA-1,"May 7, 2008",
,Travis Childers,D,MS-1,"May 20, 2008",
,Donna Edwards,D,MD-4,"June 19, 2008",
,Marcia Fudge,D,OH-11,"November 19, 2008",
