Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes,Unused_1,Extra_Data_2,Irrelevant_3
1,1,Houston Texans,David Carr,QB,Fresno State,WAC,pre-signed,,247,xVBRAp
1,2,Carolina Panthers,Julius Peppers†,DE,North Carolina,ACC,,,441,u6IQ5GGt
1,3,Detroit Lions,Joey Harrington,QB,Oregon,Pac-10,,,223,zqfXVzb3
1,4,Buffalo Bills,Mike Williams,OT,Texas,Big 12,,,780,c65QNY2
1,5,San Diego Chargers,Quentin Jammer,CB,Texas,Big 12,,,385,4gFANj
1,6,Kansas City Chiefs,Ryan Sims,DT,North Carolina,ACC,from Dallas,,597,A1G6db
1,7,Minnesota Vikings,Bryant McKinnie†,OT,Miami (FL),Big East,,,486,vUOJNwS
1,8,Dallas Cowboys,Roy Williams†,SS,Oklahoma,Big 12,from Kansas City,,371,3IQJFW4b
1,9,Jacksonville Jaguars,John Henderson†,DT,Tennessee,SEC,,,412,ariRV8L
1,10,Cincinnati Bengals,Levi Jones,OT,Arizona State,Pac-10,,,568,4XFe8
1,11,Indianapolis Colts,Dwight Freeney†,DE,Syracuse,Big East,,,532,FwQLPzh
1,12,Arizona Cardinals,Wendell Bryant,DT,Wisconsin,Big Ten,,,57,QJPTo2sw
1,13,New Orleans Saints,Donté Stallworth,WR,Tennessee,SEC,,,783,dgTSiQz
1,14,New York Giants,Jeremy Shockey†,TE,Miami (FL),Big East,from Tennessee,,81,bxIqedi
1,15,Tennessee Titans,Albert Haynesworth†,DT,Tennessee,SEC,from N.Y. Giants,,287,YlHn6ED
1,16,Cleveland Browns,William Green,RB,Boston College,Big East,,,920,2KpEvX
1,17,Oakland Raiders,Phillip Buchanon,CB,Miami (FL),Big East,from Atlanta,,783,xNUZAoB
1,18,Atlanta Falcons,T. J. Duckett,RB,Michigan State,Big Ten,from Washington via Oakland,,720,tvAMTc
1,19,Denver Broncos,Ashley Lelie,WR,Hawaiʻi,WAC,,,842,fKAI6
1,20,Green Bay Packers,Javon Walker†,WR,Florida State,ACC,from Seattle,,843,1ftv3jYg
1,21,New England Patriots,Daniel Graham,TE,Colorado,Big 12,from Tampa Bay via Oakland and Washington,,140,NyaA5
1,22,New York Jets,Bryan Thomas,DE,UAB,C-USA,,,701,bcWtLf
1,23,Oakland Raiders,Napoleon Harris,LB,Northwestern,Big Ten,,,945,8nQyf
1,24,Baltimore Ravens,Ed Reed†,FS,Miami (FL),Big East,,,379,kGUTTc5
1,25,New Orleans Saints,Charles Grant,DE,Georgia,SEC,from Miami,,319,u83SdIF
1,26,Philadelphia Eagles,Lito Sheppard†,CB,Florida,SEC,,,343,xyFVHtI2
1,27,San Francisco 49ers,Mike Rumph,CB,Miami (FL),Big East,,,660,GV3bLuAv
