Week,Start Date,Type,Tournament,Surface,Town,Country,Continent,Prize Money
21,July 11,International,NURNBERGER Gastien Ladies,Clay,Bad Gastein,Austria,Europe,"$220,000"
22,July 18,International,Banka Koper Slovenia Open,Hard,Portorož,Slovenia,Europe,"$220,000"
23,July 25,International,Mid-Atlantic Women's Tennis Championships,Hard,"Washington, D.C.",United States,North America,"$220,000"
29,September 12,International,Bell Challenge,Hard (I),Quebec City,Canada,North America,"$220,000"
29,September 12,International,Tashkent Open,Hard,Tashkent,Uzbekistan,Asia,"$220,000"
30,September 19,International,Guangzhou International Women's Open,Hard,Guangzhou,China,Asia,"$220,000"
30,September 19,International,Hansol Korea Open,Hard,Seoul,South Korea,Asia,"$220,000"
33,October 10,International,Generali Ladies Linz,Hard (I),Linz,Austria,Europe,"$220,000"
33,October 10,International,HP Japan Women's Open Tennis 2011,Hard,Osaka,Japan,Asia,"$220,000"
34,October 17,International,BGL BNP PARIBAS Luxembourg Open,Hard (I),Luxembourg,Luxembourg,Europe,"$220,000"
