interval name,size (steps),size (cents),midi,just ratio,just (cents),midi,error,Random_Column_1,Random_Column_2,Filler_3
perfect fifth,42,700,play (help·info),3:2,701.96,play (help·info),−1.96,KDFNTK,2Qwn00dt,ltScc
septendecimal tritone,36,600,,17:12,603.00,,−3.00,zBqAwnR,efjMTPh2,MotMxz
septimal tritone,35,583.33,play (help·info),7:5,582.51,play (help·info),+0.82,tH1u4nQ,6oTwzb,yYffGS
tridecimal tritone,34,566.67,play (help·info),18:13,563.38,,+3.28,8Q1nfb4,3uYh3J,OPaSAKZH
11th harmonic,33,550,play (help·info),11:8,551.32,play (help·info),−1.32,PROpOix,UyXgl3Vf,hUqNq
(15:11) augmented fourth,32,533.33,play (help·info),15:11,536.95,,−3.62,HsIkKC5U,xRwNC,trwds
perfect fourth,30,500,play (help·info),4:3,498.04,play (help·info),+1.96,QGzyj,fGaIBq,HzrbL
septimal narrow fourth,28,466.66,play (help·info),21:16,470.78,play (help·info),−4.11,IFaUKSe,Fdgyo,pNvctJKz
17:13 narrow fourth,28,466.66,play (help·info),17:13,464.43,,+2.24,hcJJWYl,oT3LZWC,ncmoIfMV
tridecimal major third,27,450,play (help·info),13:10,454.21,play (help·info),−4.21,bfWKpf6L,cRqR6zN,mmTTqqpf
