interval name,size (steps),size (cents),midi,just ratio,just (cents),midi,error
tridecimal 5/4 tone,15,250,play (help·info),15:13,247.74,,+2.26
septimal whole tone,14,233.33,play (help·info),8:7,231.17,play (help·info),+2.16
septendecimal whole tone,13,216.67,,17:15,216.69,,−0.02
"whole tone, major tone",12,200,play (help·info),9:8,203.91,play (help·info),−3.91
"whole tone, minor tone",11,183.33,play (help·info),10:9,182.40,play (help·info),+0.93
greater undecimal neutral second,10,166.67,play (help·info),11:10,165.00,play (help·info),+1.66
lesser undecimal neutral second,9,150,play (help·info),12:11,150.64,play (help·info),−0.64
greater tridecimal 2/3 tone,8,133.33,,13:12,138.57,,−5.24
great limma,8,133.33,,27:25,133.24,,+0.09
lesser tridecimal 2/3rd tone,8,133.33,play (help·info),14:13,128.30,,+5.04
