Year,Film,Role,Language,Notes,Random_Column_1
2012,Thuppakki,Nisha,Tamil,CineMAA Award for Best Actress (Tamil),5DwT4qwD
2012,Sarocharu,Sandhya,Telugu,,5pPLW
2013,Naayak,Madhu,Telugu,,EdWLl
2013,Special 26,Priya Chauhan,Hindi,,1jYfJ
2013,Baadshah,Janaki,Telugu,,Xc6u4
2013,All in All Azhagu Raja,Chitra Devi Priya,Tamil,,s8Hpw
2014,Jilla,Shanthi,Tamil,,L3yHA
2014,Yevadu,Deepthi,Telugu,Special appearance,vbJ1UC
2014,Govindudu Andarivadele,,Telugu,Filming,D32C2A5
2014,'Untitled Balaji Mohan project,,Tamil,Pre-production,NUL7lWE
