Player,Played,Legs Won,Legs Lost,LWAT,100+,140+,180s,High Checkout,3-dart Average,Dummy_Col_1,Random_Column_2,Filler_3
Colin Osborne,1,7,10,4,18,13,2,116,89.18,qzPuPVhM,D0EB5,bdBGLjvY
Dennis Priestley,1,5,10,3,22,13,2,84,89.06,cSEojMOQ,WWtgql2,qNSOlksK
Robert Thornton,1,4,10,1,17,9,3,56,88.88,JjRFpu,jtAUss,jhsrjbBz
Mark Dudbridge,1,7,10,5,17,10,3,109,88.28,YsBQLJ,VZ1op,nwwDCmp
Wayne Mardle,2,16,14,6,36,22,4,115,87.27,sJvvPVh,bmDzbH9P,lDXVOYT
Jamie Caven,1,3,10,0,13,6,2,120,86.95,YEysgHiN,zl2rk9I,xQqRcPM
John Part,1,6,10,2,19,5,4,76,86.62,DqHXr,rlWqCtjk,ReTumqEm
Tony Eccles,1,1,10,0,11,10,0,76,86.22,VCPayrl,zIXfuB5,SIRkm
Colin Lloyd,2,15,20,8,46,17,5,62,86.18,eXOnaVDU,BhuY28tF,FgCqgJk
Andy Jenkins,1,5,10,4,15,10,1,96,85.31,EJPCr,ZCjtpt9,YjoffKxG
