Member,Party,Electorate,State,First elected,Noise_Field_1,Unused_2
Bruce Kekwick,Liberal,Bass,Tas,1949,crzXNghu,
Stan Keon,ALP,Yarra,Vic,1949,RtCRCNW,
William Lawrence,Liberal,Wimmera,Vic,1949,vbwXCi,
Hon George Lawson,ALP,Brisbane,Qld,1931,QvTpxxND,
Hon Bert Lazzarini,ALP,Werriwa,NSW,"1919–31, 1934",Qfgzkiuv,
Hugh Leslie,Liberal,Moore,WA,1949,BbXxhV,
Tony Luchetti,ALP,Macquarie,NSW,1951,TFsqVRam,
Aubrey Luck,Liberal,Darwin,Tas,1951,GaeGWs,
Philip Lucock,Country,Lyne,NSW,1953,qDNqMYA,
Dan Mackinnon,Liberal,Corangamite,Vic,"1949–51, 1953",sdWlQ,
Hon Philip McBride,Liberal,Wakefield,SA,"1931–37, 1937–43 (S), 1946",IWeSov,
Malcolm McColm,Liberal,Bowman,Qld,1949,HjlVm,
Hon Allan McDonald,Liberal,Corangamite,Vic,1940,CKBQE,
