Year,Laetare Medalist,Position,Year,Laetare Medalist,Position
1916,James Joseph Walsh,Physician and Author,1982,John Francis Cardinal Dearden,Archbishop Emeritus of Detroit
1917,Admiral William Shepherd Benson,Chief of Naval Operations,1983,Edmund & Evelyn Stephan,Chairman Emeritus of the Board of Trustees and his wife
1918,Joseph Scott,Lawyer,1984,"John T. Noonan, Jr.",Lawyer
1919,George L. Duval,Philanthropist,1985,Guido Calabresi,Dean of the Yale Law School
1920,Lawrence Francis Flick,Physician,1986,Thomas & Mary Elizabeth Carney,Chairman of the Board of Trustees and his wife
1921,Elizabeth Nourse,Artist,1987,"Rev. Theodore Hesburgh, CSC",President of the University of Notre Dame
1922,Charles Patrick Neill,Economist,1988,Eunice Kennedy Shriver,Founder & Chairwoman of the Special Olympics
1923,Walter George Smith,Lawyer,1989,Walker Percy,Novelist
1924,Charles Donagh Maginnis,Architect,1990,Sister Thea Bowman (posthumously),Educator
1925,Albert Francis Zahm,Scientist,1991,Corinne Lindy Boggs,Former Louisiana Congresswoman
1926,Edward Nash Hurley,Businessman,1992,Daniel Patrick Moynihan,U.S. Senator from New York
